,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114166223,58,92,91,62,91,53
LOC114181831,5,12,6,40,9,31
LOC114187015,263,179,101,569,256,930
LOC114176176,0,0,6,2,0,0
LOC114168871,127,157,123,152,117,139
LOC114176673,17,18,20,24,32,43
LOC114177793,38,58,36,28,40,56
LOC114162977,0,0,0,0,0,0
LOC114177407,22,12,4,4,18,62
LOC114192227,46,19,23,16,14,97
LOC114180481,273,262,258,284,243,319
LOC114185054,180,131,137,132,113,136
LOC114165270,2,0,4,0,9,0
LOC114195033,77,54,47,57,52,73
LOC114179443,34,4,24,34,4,0
LOC114191789,18,24,22,38,38,23
LOC114191780,3286,2830,3723,2387,3097,2900
LOC114179567,12,6,18,7,21,2
LOC114183053,0,0,0,0,0,0
LOC114181877,0,0,0,0,0,0
LOC114184835,0,0,0,0,0,0
LOC114164396,0,0,0,0,0,0
LOC114165252,0,0,0,0,0,0
LOC114184307,0,0,0,0,0,0
LOC114187349,0,0,0,0,0,0
LOC114165329,0,0,0,0,0,0
LOC114181941,0,0,0,0,0,0
LOC114181970,0,0,0,0,0,0
LOC114171263,0,0,0,0,0,0
LOC114181983,0,0,0,0,0,0
LOC114191971,0,0,0,0,0,0
LOC114195492,0,0,0,0,0,0
LOC114175091,0,0,0,0,0,0
LOC114173789,1658,1038,1067,1201,1315,1572
LOC114181994,0,0,0,0,0,0
LOC114183031,2,2,2,6,14,16
LOC114183016,323,268,387,324,333,285
LOC114182289,1184,964,858,1374,1464,1800
LOC114182282,345,292,335,198,354,354
LOC114176222,2,0,0,2,0,0
LOC114182003,0,0,0,0,0,0
LOC114188485,307,259,287,318,292,426
LOC114178773,59,50,18,62,42,86
LOC114182038,0,0,0,0,0,0
LOC114169421,0,0,0,0,0,0
LOC114183842,0,0,0,0,0,0
LOC114183663,284,289,215,200,231,347
LOC114193342,111,104,92,125,107,133
LOC114175574,86,95,97,47,52,27
LOC114186983,304,267,320,208,259,229
LOC114178576,2386,2007,2425,1321,1864,1701
LOC114177357,2,2,12,6,4,2
LOC114177853,136,82,88,73,107,93
LOC114175281,152,83,100,48,98,127
LOC114192141,199,158,138,1701,369,1641
LOC114177597,14,24,6,17,35,20
LOC114178969,6,10,2,20,9,16
LOC114192015,846,647,724,909,738,924
LOC114178778,4,1,6,4,18,10
LOC114164021,0,0,0,0,0,0
LOC114165132,0,0,0,2,0,0
LOC114165113,0,0,0,0,0,0
LOC114165121,1657,1075,1001,1274,484,1631
LOC114165126,568,502,316,260,197,542
LOC114182066,13013,9168,7493,10711,5302,12814
LOC114179167,0,6,4,30,8,14
LOC114164148,2,0,2,0,2,6
LOC114164954,441,342,326,354,369,396
LOC114164499,100,130,103,356,192,155
LOC114163049,109,123,110,121,96,108
LOC114177958,137,96,117,117,131,101
LOC114166405,22,39,28,12,30,30
LOC114184360,138,75,133,117,124,128
LOC114184379,2,7,6,4,6,6
LOC114184281,102,146,137,95,145,113
LOC114180896,0,0,0,0,0,0
LOC114180903,0,0,0,0,2,2
LOC114194858,55,64,42,56,50,62
LOC114181785,287,349,493,348,488,485
LOC114181339,0,0,0,0,0,0
LOC114181318,246,160,137,83,144,110
LOC114181329,1777,1808,1961,1399,1410,1774
LOC114191922,310,336,261,256,263,263
LOC114191934,0,0,0,1,0,1
LOC114189769,92,18,20,83,29,66
LOC114180751,2959,2439,2393,397,1114,534
LOC114182197,0,0,0,0,0,0
LOC114164078,147,89,173,22,35,37
LOC114164680,0,1,0,1,0,0
LOC114164670,85,49,51,31,14,12
LOC114165537,1134,1050,1173,778,1207,631
LOC114194157,35,13,15,25,22,42
LOC114194488,2,133,43,134,312,103
LOC114195437,0,0,0,0,0,0
LOC114193557,12,75,12,51,131,60
LOC114193582,0,8,2,4,20,6
LOC114182233,0,0,0,0,0,0
LOC114193573,803,692,764,501,590,573
LOC114193564,331,261,314,157,228,213
LOC114163460,16,10,9,13,19,4
LOC114182250,11,31,17,21,16,8
LOC114165142,0,0,0,0,2,0
LOC114173182,99,72,34,105,96,101
LOC114162197,4,2,0,12,6,14
LOC114179031,365,294,234,375,302,385
LOC114184488,46,44,61,28,94,43
LOC114182255,0,0,0,0,0,2
LOC114180288,708,917,961,1012,997,1198
LOC114180297,76,105,92,42,112,42
LOC114173662,162,97,77,175,116,233
LOC114176968,768,482,598,421,524,624
LOC114182348,0,0,0,0,0,0
LOC114195892,196,142,179,91,121,82
LOC114176946,8,8,15,10,8,16
LOC114186541,94,315,162,437,419,194
LOC114176275,2,0,0,2,2,2
LOC114176605,0,0,0,1,0,0
LOC114182081,2,0,0,0,4,2
LOC114175485,25,4,4,6,14,10
LOC114182398,0,0,0,0,0,0
LOC114182408,0,0,0,0,0,0
LOC114192657,1979,1457,1309,1413,1238,1410
LOC114182114,0,0,0,0,0,0
LOC114182110,4,0,1,0,3,1
LOC114178659,0,0,2,2,6,10
LOC114174529,72,84,94,135,96,206
LOC114174604,0,0,1,0,0,0
LOC114177996,0,0,0,0,0,0
LOC114182564,0,0,1,0,2,0
LOC114182579,0,0,0,0,0,0
LOC114173637,161,196,161,199,199,224
LOC114178083,185,125,142,138,141,121
TRNAL-CAA,0,0,0,0,0,0
TRNAL-CAA_1,0,0,0,0,0,0
TRNAL-CAA_2,0,0,0,0,0,0
LOC114165657,0,0,0,0,0,0
LOC114178024,141,77,103,103,90,135
LOC114189694,94,90,77,120,82,104
LOC114163953,103,78,73,43,80,48
LOC114189454,178,240,232,128,163,164
