,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114180955,110,109,100,80,93,119
LOC114182682,0,23,12,20,12,12
LOC114180973,1196,1328,1872,345,710,591
LOC114180312,285,261,284,153,255,255
LOC114182052,0,0,0,0,0,0
LOC114182053,0,0,0,0,0,0
LOC114182560,0,0,0,0,0,0
LOC114181436,0,0,0,0,0,0
LOC114182054,0,0,0,0,0,0
LOC114182324,2,14,0,0,0,0
LOC114182294,13,21,4,52,47,89
LOC114181382,0,57,15,103,112,78
LOC114181556,14,95,45,49,149,18
LOC114181618,477,514,492,414,542,514
LOC114181806,136,128,132,129,142,172
LOC114182125,111,125,123,117,111,136
LOC114181442,254,253,306,243,325,255
LOC114182056,0,0,0,0,0,0
LOC114181692,0,4,0,0,2,20
LOC114181194,41,16,41,16,22,14
LOC114181503,94,107,61,754,147,351
LOC114181334,0,0,0,2,0,0
LOC114181344,145,176,198,135,218,114
LOC114181198,36,37,31,78,44,51
LOC114182478,0,2,0,4,6,4
LOC114182503,149,101,82,77,106,69
LOC114182717,65,73,63,32,93,36
LOC114181290,929,702,410,848,746,1023
LOC114181914,23,30,4,12,20,8
LOC114182746,260,180,189,176,137,171
LOC114182116,54,60,33,49,34,53
LOC114182115,31,9,32,23,15,27
LOC114182389,2,2,0,0,0,0
LOC114180406,146,94,92,85,89,108
LOC114181711,0,0,0,0,0,0
LOC114181399,6,26,4,10,47,20
LOC114180970,76,70,55,84,85,71
LOC114181690,2,0,0,0,1,4
LOC114182061,0,0,0,0,0,0
LOC114182559,0,0,0,0,2,0
LOC114182310,1412,1033,1179,1114,1070,1365
LOC114182062,0,0,0,0,0,0
LOC114181533,14,154,12,419,339,132
LOC114182064,0,6,1,0,2,0
LOC114181153,603,389,323,237,326,283
LOC114181219,18,4,0,19,14,53
LOC114182435,0,0,0,9,0,2
LOC114181490,9,49,26,34,73,51
LOC114181515,1154,1077,854,1945,783,1332
LOC114181625,6,72,0,118,87,140
LOC114181322,36,44,25,46,50,50
LOC114182513,352,379,323,458,307,332
LOC114182283,45,48,30,52,30,55
LOC114182570,0,2,0,0,0,2
LOC114182100,296,215,189,236,245,251
LOC114181735,0,0,0,0,0,0
LOC114181400,115,145,120,87,106,46
LOC114181347,951,1021,1101,627,1068,765
LOC114182616,0,2,0,4,0,0
LOC114182065,0,0,0,0,0,0
LOC114181551,2,0,0,8,4,8
LOC114180356,193,294,246,361,407,172
LOC114180952,142,91,170,163,97,174
LOC114182421,131,104,150,96,127,124
LOC114180234,1,0,0,2,0,0
LOC114181516,1168,961,912,647,843,936
LOC114182201,232,216,169,148,127,210
LOC114181083,236,166,242,145,188,124
TRNAI-AAU_11,0,0,0,0,0,0
LOC114182359,44,42,56,110,53,91
LOC114182423,361,302,256,357,238,327
LOC114182377,428,274,331,214,192,276
LOC114182378,82,82,72,45,56,45
LOC114181870,1376,1255,1415,504,1038,878
LOC114181410,31,16,34,137,10,78
LOC114181960,156,185,197,364,189,299
LOC114180965,58,100,52,130,146,169
LOC114182740,0,0,0,0,0,3
LOC114182712,2,5,0,3,3,0
LOC114182067,0,0,0,0,0,0
LOC114181094,0,0,0,0,0,0
LOC114182470,649,762,533,443,683,525
LOC114181889,763,573,867,1459,792,679
LOC114181359,8,24,8,6,41,18
LOC114181548,2,8,2,18,18,10
LOC114180310,1161,1049,1180,1215,1359,1657
LOC114180378,57,122,61,86,130,80
LOC114181246,464,429,394,476,418,572
LOC114181664,2,99,4,94,180,52
LOC114181343,0,0,0,0,0,0
LOC114182091,155,139,64,140,113,147
LOC114182090,2,0,2,2,4,0
LOC114181670,89,36,57,33,25,16
LOC114181746,176,62,130,50,71,36
LOC114181214,2,0,2,274,22,747
LOC114181740,168,175,209,132,243,158
LOC114181540,11,0,1,233,11,785
LOC114181493,3,13,10,65,38,58
LOC114181691,637,578,820,554,710,519
LOC114182368,0,0,0,0,0,0
LOC114182525,1397,719,1206,627,952,561
LOC114182364,0,16,4,14,14,2
LOC114182629,2,2,0,2,2,0
LOC114182071,0,0,0,0,0,0
LOC114182073,0,0,0,0,0,0
LOC114181762,47,69,105,97,95,90
LOC114181622,153,168,160,173,166,237
LOC114181469,4,0,0,4,2,8
LOC114180320,0,0,0,0,0,0
LOC114181422,327,249,159,2783,427,3405
LOC114182658,18,136,24,179,236,122
LOC114180249,431,322,381,133,305,647
LOC114180322,1449,1057,829,1276,1178,1051
LOC114181577,144,122,122,195,126,185
LOC114181429,206,89,97,127,124,128
LOC114181352,406,595,559,394,540,382
LOC114181286,21,17,16,19,18,10
LOC114182567,39,40,30,38,28,23
LOC114181678,597,609,563,281,377,499
LOC114181311,54,47,40,56,41,40
LOC114181310,2,0,0,0,0,0
LOC114182620,0,0,0,21,2,48
LOC114181147,129,111,73,179,157,139
LOC114180426,15,16,15,15,22,51
LOC114181148,2,0,0,0,0,2
LOC114181146,68,22,38,30,42,52
LOC114180427,0,0,0,0,0,0
LOC114180968,0,0,0,0,0,1
LOC114182122,93,105,68,30,63,63
LOC114182121,8,9,1,4,4,9
LOC114180429,0,0,0,0,0,0
LOC114182794,0,0,0,0,0,0
LOC114180430,10,8,11,5,5,7
LOC114182766,400,309,403,281,307,393
LOC114180431,0,0,0,0,0,0
LOC114180433,0,0,0,0,0,0
LOC114181002,12,21,20,11,11,19
TRNAL-AAG_6,0,0,0,0,0,0
LOC114181224,258,225,177,265,222,240
LOC114181070,111,64,92,67,110,84
LOC114182465,10,4,6,21,24,12
LOC114181450,10,16,38,134,15,12
TRNAL-AAG_7,0,0,0,0,0,0
LOC114182182,150,145,122,218,145,275
LOC114180989,15,44,18,44,30,30
LOC114181354,0,20,0,61,39,38
TRNAK-UUU_10,0,0,0,0,0,0
TRNAI-AAU_12,0,0,0,0,0,0
LOC114181363,0,0,0,0,0,0
TRNAI-AAU_13,0,0,0,0,0,0
LOC114182440,528,332,433,181,352,222
LOC114180434,0,0,0,0,0,0
TRNAI-AAU_14,0,0,0,0,0,0
LOC114180435,0,0,0,0,0,0
LOC114180436,0,0,0,0,0,0
TRNAL-AAG_8,0,0,0,0,0,0
TRNAM-CAU_7,0,0,0,0,0,0
LOC114181319,0,0,0,0,0,0
LOC114181626,4,2,0,0,2,2
LOC114182277,23,25,18,25,15,24
LOC114182278,14,9,6,1,0,6
LOC114180437,0,0,0,0,0,0
LOC114182558,0,0,0,0,0,0
LOC114182815,0,0,0,0,0,0
LOC114182807,0,0,0,0,0,0
LOC114181588,250,194,426,94,195,48
LOC114181640,0,0,0,0,0,2
LOC114182650,0,8,2,40,28,22
LOC114182767,414,215,290,398,255,666
LOC114182523,0,0,0,0,0,0
LOC114182154,469,371,366,863,274,1256
LOC114181532,72,50,43,48,50,56
LOC114181394,206,168,135,125,173,138
LOC114181112,82,62,71,118,78,104
LOC114181765,0,0,0,0,0,4
LOC114182133,0,0,0,5,0,0
LOC114181700,0,0,0,0,0,1
LOC114181867,492,472,508,436,502,534
LOC114181661,57,21,42,29,61,38
LOC114182120,735,548,592,220,241,341
LOC114180381,337,324,556,351,442,283
LOC114180439,0,0,0,0,0,0
LOC114182725,72,35,54,60,82,54
LOC114182357,118,129,146,115,100,202
LOC114181483,17,17,2,4,10,4
LOC114181895,250,296,221,519,291,437
LOC114181649,4,24,45,79,0,8
LOC114181215,11,30,53,86,19,16
LOC114181940,4,12,22,227,8,93
LOC114182762,0,0,0,3,2,0
LOC114180441,0,0,0,0,0,0
LOC114181132,0,0,0,0,0,0
LOC114181395,0,0,0,11,0,8
LOC114182542,0,0,0,0,2,0
TRNAK-UUU_11,0,0,0,0,0,0
LOC114182632,5,8,0,4,0,4
LOC114182327,1659,1411,1485,1522,1970,2237
LOC114182361,115,182,136,132,210,107
LOC114182610,0,0,0,0,0,0
LOC114181007,0,0,0,0,0,0
LOC114180976,0,0,0,0,0,0
LOC114180442,0,0,0,0,0,0
LOC114182803,0,0,0,0,0,0
LOC114182284,0,1,0,20,0,0
LOC114181862,0,0,2,1,0,1
LOC114180443,0,0,0,0,0,0
LOC114181854,0,0,0,0,0,0
LOC114181861,0,0,0,0,0,0
LOC114181859,0,1,0,0,0,0
LOC114180444,0,0,0,0,0,0
LOC114181857,0,0,0,0,0,0
LOC114181858,4,10,3,4,0,5
LOC114181865,0,0,0,0,0,1
LOC114181856,0,0,0,0,0,0
LOC114180446,0,0,0,0,0,0
LOC114181860,0,0,0,0,0,1
LOC114181599,0,0,0,0,0,0
LOC114180314,0,0,0,0,0,0
LOC114180448,0,0,0,0,0,0
LOC114181966,0,0,0,1,0,0
LOC114180450,0,0,0,0,0,0
LOC114180951,0,0,0,0,0,0
LOC114180451,0,0,0,0,0,0
LOC114181090,0,0,0,0,0,0
LOC114180379,0,0,0,0,0,0
LOC114180287,0,0,0,0,0,0
LOC114180286,0,0,0,0,0,0
LOC114181071,0,0,0,0,0,0
LOC114182108,0,0,0,0,0,0
LOC114182107,0,0,1,10,1,0
LOC114180453,0,0,0,0,0,0
LOC114182106,0,0,0,0,0,0
LOC114182467,190,152,159,149,106,206
LOC114182379,8,0,4,4,4,2
LOC114180282,0,0,0,0,0,0
LOC114182376,372,401,429,312,417,362
LOC114180454,0,0,0,0,0,0
LOC114182549,0,0,0,0,0,0
LOC114181717,0,0,0,0,0,0
LOC114181095,16,4,5,78,14,66
LOC114180457,0,0,0,0,0,0
TRNAS-GCU_9,0,0,1,0,0,2
LOC114182311,0,9,10,80,25,74
LOC114181171,149,99,109,123,127,160
LOC114182668,94,77,49,275,79,205
LOC114180351,137,103,109,59,123,87
LOC114181748,14,58,41,37,67,6
LOC114181413,267,598,752,399,752,295
LOC114181629,0,0,0,0,0,0
LOC114180236,230,208,299,105,135,48
LOC114182681,40,151,163,59,234,46
LOC114180268,262,234,247,307,270,265
LOC114180303,0,2,0,0,0,0
LOC114180459,0,0,0,0,0,0
LOC114180460,0,0,0,0,0,0
LOC114181628,0,0,0,0,0,0
LOC114180969,0,0,0,0,0,0
LOC114181984,0,0,0,0,1,0
LOC114181874,20,45,35,93,45,81
LOC114181658,2,0,0,4,6,2
LOC114181702,0,0,0,0,1,0
LOC114180461,0,0,0,0,0,0
LOC114180462,0,0,0,0,0,0
LOC114180463,0,0,0,0,0,0
LOC114181546,19,31,19,17,11,12
LOC114180465,0,0,0,0,0,0
LOC114181607,0,12,5,141,21,62
LOC114180466,0,0,0,0,0,0
LOC114182430,2,2,4,0,6,0
LOC114181590,5,32,18,27,40,14
LOC114181775,8,2,0,0,0,0
LOC114181706,96,79,276,815,275,270
LOC114182722,0,0,0,0,0,0
LOC114180467,0,0,0,0,0,0
LOC114182810,0,0,0,0,0,0
LOC114180468,0,0,0,0,0,0
LOC114180469,0,0,0,0,0,0
LOC114180470,0,0,0,0,0,0
LOC114180471,0,0,0,0,0,0
LOC114182723,0,0,0,0,0,0
LOC114180283,0,0,0,1,0,0
LOC114180472,0,0,0,0,0,0
LOC114180473,0,0,0,0,0,0
LOC114181072,0,0,0,0,0,0
LOC114182727,0,0,0,0,0,0
LOC114182733,0,0,0,0,0,0
LOC114181774,0,0,0,0,0,0
LOC114181055,0,0,0,0,0,0
LOC114181039,0,0,0,0,0,0
LOC114182743,0,0,0,0,0,0
LOC114182800,0,0,0,0,0,0
LOC114181270,0,0,0,0,0,0
LOC114181663,0,0,0,0,0,0
LOC114182833,0,0,0,0,0,0
LOC114181114,0,0,0,0,0,0
LOC114181191,0,0,0,0,0,0
LOC114182832,0,0,0,0,0,0
LOC114181952,276,209,213,212,290,247
LOC114180474,0,0,0,0,0,0
LOC114182791,0,0,0,0,0,0
LOC114180475,0,0,0,0,0,0
LOC114180476,0,0,0,0,0,0
LOC114180477,0,0,0,0,0,0
LOC114180978,26,14,13,25,9,23
LOC114180278,0,0,0,0,0,0
LOC114182808,0,0,0,0,0,0
LOC114182765,0,0,0,0,0,0
LOC114180479,0,0,0,0,0,0
LOC114180480,0,0,0,0,0,0
LOC114180482,0,0,0,0,0,0
LOC114182737,57,40,242,427,40,67
LOC114182333,71,45,65,70,42,79
LOC114180483,4,6,2,4,4,0
LOC114182157,166,142,109,103,145,148
LOC114180972,0,0,0,0,0,0
LOC114180977,0,0,0,0,0,0
LOC114181868,834,822,781,543,733,656
TRNAA-AGC_7,0,0,0,0,0,0
LOC114181600,20,13,4,6,2,24
LOC114182718,0,3,0,0,0,0
TRNAI-AAU_15,0,0,0,0,0,0
LOC114180485,0,0,0,0,0,0
TRNAG-GCC_7,0,0,0,0,0,0
LOC114182521,352,303,225,307,302,378
LOC114181908,131,115,103,181,140,167
LOC114181234,763,510,493,406,541,557
LOC114182651,8,0,15,2,0,11
LOC114181964,12,16,6,21,16,14
LOC114181963,165,78,102,68,104,99
LOC114180486,0,0,0,0,0,0
LOC114181479,0,0,2,8,10,112
LOC114180487,0,0,0,0,0,0
LOC114180488,0,0,0,0,0,0
LOC114181602,0,0,0,0,6,4
LOC114182491,0,0,0,0,0,0
LOC114180489,0,0,0,0,0,0
LOC114180490,0,0,0,0,0,0
LOC114182557,0,0,0,0,0,0
LOC114180492,0,0,0,0,0,0
LOC114181635,6,7,0,6,8,6
LOC114180319,0,0,0,0,0,0
LOC114181472,6,15,18,2,6,9
LOC114180494,0,0,0,0,0,0
LOC114182372,272,333,261,182,339,217
LOC114182373,0,0,0,0,4,0
LOC114182701,135,98,132,114,143,120
LOC114181894,464,379,431,616,392,506
TRNAK-CUU_15,0,0,0,0,0,0
TRNAN-GUU_12,0,0,0,0,0,0
LOC114180495,0,0,0,0,0,0
TRNAN-GUU_13,0,0,0,0,0,0
LOC114180496,0,0,0,0,0,0
LOC114180497,0,0,0,0,0,0
TRNAN-GUU_14,0,0,0,0,0,0
LOC114180498,0,0,0,0,0,0
LOC114181701,0,0,0,0,0,0
LOC114180499,0,0,0,0,0,0
LOC114182711,0,0,0,0,0,0
LOC114180500,0,0,0,0,0,0
LOC114180316,0,0,0,0,0,0
LOC114182789,0,0,0,0,0,0
LOC114180265,366,478,496,405,507,487
LOC114182367,48,130,40,56,218,243
LOC114182380,0,0,0,1,0,2
LOC114180501,0,0,0,0,0,0
LOC114181513,0,0,0,0,0,0
LOC114181512,2,2,4,22,9,12
LOC114182578,2,0,8,4,4,0
LOC114180502,0,0,0,0,0,0
LOC114180504,0,0,0,0,0,0
LOC114180506,0,0,0,0,0,0
LOC114182313,1030,379,318,837,442,1138
LOC114180508,0,0,0,0,0,0
LOC114182441,0,0,0,34,4,74
LOC114181061,45,26,53,71,10,37
LOC114181111,0,0,0,0,0,0
LOC114182527,0,1,0,0,0,0
LOC114180509,0,0,0,0,0,0
LOC114182646,126,242,228,113,279,123
TRNAA-AGC_8,0,0,0,0,0,0
LOC114181044,3,5,0,6,8,0
LOC114182486,186,184,198,169,178,241
LOC114180305,0,0,0,0,0,0
LOC114182425,0,0,0,1,0,0
LOC114182501,0,0,0,0,0,0
LOC114181560,0,0,0,3,0,0
LOC114180510,0,0,0,0,0,0
LOC114182460,1473,1345,1292,1104,1268,1277
LOC114182594,2,0,2,3,0,3
LOC114182180,62,68,60,70,83,58
LOC114182130,73,95,76,76,70,85
LOC114181056,28,11,9,22,9,21
LOC114181414,27,18,20,36,21,22
LOC114181627,0,0,0,0,0,0
LOC114180512,0,0,0,0,0,0
LOC114180513,0,0,0,0,0,0
LOC114180514,0,0,0,0,0,0
LOC114181218,20,22,15,26,28,23
LOC114180515,0,0,0,0,0,0
LOC114181841,92,135,135,192,147,190
LOC114181238,63,46,54,87,64,69
LOC114181605,49,43,36,39,29,36
LOC114181062,172,151,191,102,134,69
LOC114180518,0,0,0,0,0,0
LOC114180519,0,0,0,0,0,0
LOC114182203,642,370,464,277,263,263
LOC114182392,109,67,92,48,97,81
LOC114182648,0,0,0,0,0,0
LOC114180521,0,4,0,0,0,0
LOC114180522,0,0,0,0,0,0
LOC114180523,0,0,0,0,0,0
LOC114180421,0,0,0,0,0,0
LOC114180525,0,0,0,0,0,0
LOC114182792,0,0,0,0,0,0
LOC114180526,0,0,0,0,0,0
LOC114181079,0,0,0,0,0,0
LOC114180527,0,0,0,0,0,0
LOC114180528,0,0,0,0,0,0
LOC114180529,0,0,0,0,0,0
LOC114182260,183,179,200,282,231,243
LOC114180974,485,397,414,488,361,623
LOC114182530,0,0,0,0,0,0
LOC114181954,85,129,122,237,110,217
LOC114180530,0,0,0,0,0,0
LOC114180531,0,0,0,0,0,0
LOC114180533,0,0,0,0,0,0
LOC114181932,0,0,0,0,0,0
LOC114181931,0,0,0,0,0,0
LOC114180992,0,0,2,0,0,0
LOC114180534,0,0,1,0,0,0
LOC114182456,2,6,8,0,8,6
LOC114182271,59,58,40,62,69,67
LOC114181811,148,127,140,208,153,201
LOC114181236,6,26,23,19,65,22
LOC114182287,99,76,98,46,54,54
LOC114181098,943,852,1099,648,706,617
LOC114181166,893,612,604,133,302,122
LOC114181719,22,8,13,14,14,4
LOC114182805,0,0,0,0,0,0
LOC114180537,0,0,0,0,0,0
LOC114182798,0,0,0,0,0,0
LOC114182331,17,15,52,130,26,38
LOC114181557,0,0,0,2,0,0
LOC114181558,0,0,0,0,0,0
LOC114182393,12,4,4,2,0,4
TRNAP-AGG_3,0,0,0,0,0,0
LOC114181173,4,14,2,39,20,12
LOC114182694,0,0,0,0,0,2
LOC114180539,0,0,0,0,0,0
LOC114180540,0,0,0,0,0,0
LOC114180387,289,295,232,251,347,362
LOC114181716,0,0,1,0,0,0
LOC114182665,152,130,126,99,99,47
LOC114181121,212,181,187,194,189,204
LOC114181183,1329,2382,1682,3292,2911,3076
LOC114181020,262,147,112,130,137,153
LOC114181120,258,237,212,231,189,251
LOC114180380,104,74,78,50,68,69
LOC114182493,0,0,0,0,0,0
LOC114182109,717,682,585,1083,683,1221
LOC114180315,358,291,284,454,269,417
LOC114182644,2,14,4,13,14,8
TRNAV-AAC_9,0,0,0,0,0,0
LOC114181916,375,367,283,251,367,370
LOC114181755,1,0,0,0,0,2
LOC114181962,107,78,71,169,80,193
LOC114181961,122,53,89,293,69,282
LOC114180542,0,0,0,0,0,0
LOC114181045,0,0,0,0,0,0
LOC114181943,205,119,134,165,155,213
LOC114181357,11,12,7,35,20,45
LOC114182396,107,81,142,97,72,60
LOC114182517,0,0,0,0,0,1
LOC114182504,0,0,0,0,0,0
LOC114182639,0,0,0,0,0,0
LOC114181585,0,47,0,74,127,78
LOC114181586,0,0,0,0,0,0
LOC114182385,10,4,2,4,4,10
LOC114182720,664,444,645,576,494,683
LOC114180543,0,2,2,6,1,11
LOC114180544,4,2,0,2,6,5
TRNAE-CUC_7,0,0,0,0,0,0
LOC114182102,39,14,28,40,29,38
LOC114180388,81,107,67,59,56,59
LOC114180545,0,0,0,0,0,0
LOC114181165,643,457,536,626,671,883
LOC114181320,94,122,78,99,166,80
LOC114181012,166,116,160,129,188,143
LOC114180546,0,0,0,0,0,0
LOC114180548,0,0,0,0,0,0
LOC114181059,40,41,54,34,52,37
LOC114180549,0,0,0,0,0,0
LOC114180550,0,0,1,0,1,0
LOC114182402,0,0,0,0,0,0
LOC114180551,116,75,104,70,88,61
LOC114182080,304,218,186,225,173,262
LOC114182431,0,0,1,0,0,0
LOC114180424,463,429,269,339,331,406
LOC114181715,60,38,42,69,36,56
LOC114181714,3,2,4,6,6,12
LOC114180553,0,0,0,0,0,0
LOC114180554,140,132,127,95,70,82
LOC114182183,102,113,89,177,148,217
LOC114181728,0,3,0,0,0,0
LOC114181720,3,2,2,9,8,15
LOC114182475,59,48,86,78,90,78
LOC114182442,125,218,60,1436,858,2041
LOC114182088,179,207,133,182,146,184
LOC114182426,8,5,39,32,11,8
LOC114180555,0,0,0,0,0,0
LOC114180556,0,0,0,0,0,0
LOC114180559,0,0,0,0,0,0
LOC114180560,0,0,0,0,0,0
LOC114182416,0,0,0,0,0,0
LOC114181092,1970,1517,1548,1067,1392,1584
LOC114180561,0,0,0,0,0,0
LOC114182307,56,62,35,73,67,55
LOC114180274,344,217,224,415,200,420
TRNAL-CAA_6,0,0,0,0,0,0
LOC114180563,0,0,0,0,0,0
LOC114180564,0,0,0,0,0,0
LOC114180343,0,0,0,0,0,0
LOC114180566,0,0,0,0,0,0
LOC114181813,990,577,555,483,353,640
LOC114180567,0,0,0,0,0,0
LOC114180568,0,0,0,0,0,0
LOC114182280,535,366,334,284,302,349
LOC114180569,0,0,0,0,0,0
LOC114180290,83,57,68,57,83,72
LOC114182263,40,38,30,43,70,74
LOC114182812,0,0,0,0,0,0
LOC114181003,0,0,0,0,0,0
LOC114180571,2,0,0,1,0,0
LOC114182693,59,66,40,74,56,110
LOC114181550,412,380,358,550,370,622
LOC114180572,0,0,0,0,0,0
LOC114182006,934,732,821,856,756,856
LOC114180573,0,0,0,0,0,0
LOC114180574,0,0,0,0,0,0
LOC114180575,0,0,0,0,0,0
LOC114180576,0,0,0,0,0,0
LOC114180577,0,0,0,0,0,0
LOC114181186,592,655,373,1237,1269,912
LOC114181179,431,565,600,473,585,587
LOC114180309,130,162,126,160,136,149
LOC114180578,0,0,0,0,0,0
LOC114180579,0,0,0,0,0,0
LOC114180580,0,0,0,0,0,0
LOC114182270,259,208,220,361,192,320
LOC114181830,1024,388,369,2918,356,1688
LOC114181829,29,7,5,96,26,106
LOC114181025,425,357,370,371,418,551
LOC114180581,0,0,0,0,0,0
TRNAR-UCU_8,0,0,0,0,0,0
TRNAG-UCC_14,0,0,0,0,0,0
LOC114181562,16,16,46,24,18,4
LOC114182647,2,0,0,0,0,0
LOC114181461,28,8,10,31,28,193
LOC114181431,67,67,81,76,42,66
LOC114180582,1,0,0,0,0,5
LOC114180583,0,0,0,0,0,0
LOC114182705,110,120,133,288,223,228
LOC114182111,195,168,142,222,232,284
LOC114181869,25531,22429,20424,16651,22226,22523
LOC114182715,83,130,108,145,106,127
TRNAP-AGG_4,0,0,0,0,0,0
LOC114180584,0,0,0,0,0,0
LOC114180585,0,0,0,0,0,0
LOC114180586,0,0,0,0,0,0
LOC114181279,23281,21605,30334,20311,27141,28122
LOC114181705,19288,24960,40126,25139,34959,35214
LOC114180221,9321,10536,17274,10389,14350,8749
LOC114181840,558,501,594,331,632,425
LOC114181839,24,15,25,16,15,16
LOC114182406,0,0,0,0,0,0
LOC114180587,0,2,0,0,0,0
LOC114180588,0,0,0,0,0,0
LOC114180589,0,0,0,0,0,0
LOC114180590,0,0,0,0,0,0
LOC114181115,170,107,132,265,186,352
LOC114181312,940,750,597,1041,1105,1289
LOC114180591,0,0,0,0,0,0
LOC114180592,0,0,0,0,0,0
LOC114180252,0,0,0,0,0,0
LOC114180594,0,0,0,0,0,0
LOC114180321,0,0,0,54,0,0
LOC114180597,0,0,0,0,0,0
LOC114181971,7,6,5,103,6,4
TRNAL-CAA_7,0,0,0,0,0,0
LOC114181470,0,0,0,0,0,0
LOC114182621,285,323,335,297,328,175
LOC114182351,0,0,0,2,0,0
LOC114182350,0,0,0,8,0,0
TRNAL-CAA_8,0,0,0,0,0,0
LOC114181004,0,0,0,0,0,0
LOC114180340,0,0,0,0,0,0
LOC114180598,0,0,0,0,0,0
LOC114180258,0,0,0,0,0,0
LOC114182532,0,0,1,0,0,0
LOC114180599,0,0,0,0,0,0
LOC114182082,9,32,20,43,39,15
LOC114180600,0,0,0,0,0,0
LOC114181047,0,0,0,0,0,0
TRNAR-UCU_9,0,0,0,1,0,1
LOC114182554,1,3,6,9,10,5
LOC114182631,11,2,6,10,9,6
LOC114181244,0,0,0,0,0,0
LOC114181245,8,4,4,6,9,5
LOC114180602,0,0,0,0,0,0
LOC114180603,0,0,0,0,0,0
LOC114180604,0,0,0,0,0,0
LOC114180605,0,0,0,0,0,0
LOC114180607,0,0,0,0,0,0
LOC114180608,0,0,0,0,0,0
LOC114182508,33,24,26,19,18,15
LOC114182509,0,0,0,0,0,0
LOC114182657,0,0,0,0,0,0
LOC114181573,1,7,3,3,3,1
LOC114181572,9,3,4,6,3,9
LOC114182769,0,0,0,18,0,0
LOC114180612,0,0,0,0,0,0
TRNAL-CAA_9,0,0,0,0,0,0
LOC114180302,0,0,0,0,0,0
LOC114181666,0,0,0,0,0,0
LOC114180382,0,0,0,0,1,0
LOC114181679,0,0,0,0,1,0
TRNAC-GCA_11,0,0,0,0,0,0
LOC114181321,39,27,28,39,52,33
TRNAC-GCA_12,0,0,0,0,0,0
TRNAR-UCU_10,0,0,0,0,0,0
LOC114181193,1124,746,1208,327,667,332
LOC114181349,955,525,559,690,748,913
LOC114181496,18,16,16,4,24,25
LOC114181636,2,123,12,139,288,153
LOC114182083,523,431,526,306,342,385
LOC114181297,187,108,99,111,87,121
LOC114182382,73,36,44,48,69,60
LOC114182671,0,0,0,0,0,0
LOC114182795,0,0,0,0,0,0
LOC114182691,0,0,0,0,0,0
LOC114180344,0,0,0,2,1,0
LOC114181333,0,0,0,0,0,0
LOC114180617,0,0,0,0,0,0
LOC114180618,0,0,0,0,0,0
LOC114182788,0,0,0,0,0,0
LOC114181228,2,2,0,2,7,0
LOC114182776,0,0,0,0,0,0
LOC114180621,0,0,0,0,0,0
LOC114181423,59,35,64,59,41,57
LOC114180622,0,0,0,0,0,0
LOC114182608,0,0,0,4,6,15
LOC114181639,0,0,0,0,0,0
LOC114181338,0,0,0,0,0,0
LOC114181420,0,0,0,0,0,0
LOC114182414,0,0,0,0,0,0
LOC114182391,196,157,153,322,139,272
LOC114182618,11284,10294,13515,7340,9804,9342
LOC114182070,121,147,149,269,225,213
LOC114181259,231,125,137,207,169,150
LOC114180623,0,0,0,4,2,4
LOC114180396,114,84,64,39,61,65
LOC114180624,0,0,0,0,0,0
LOC114181668,0,0,0,0,0,0
LOC114182804,0,0,0,0,0,0
LOC114180376,2,2,0,43,1,1
LOC114181324,0,0,0,0,0,0
LOC114180626,0,0,0,0,0,0
LOC114180285,0,0,0,0,0,0
TRNAM-CAU_8,0,0,0,0,0,0
LOC114181123,1125,697,774,687,718,753
LOC114182179,149,116,145,124,112,155
LOC114180627,0,0,0,0,0,0
LOC114182659,714,656,600,641,753,836
LOC114180245,199,122,133,331,124,224
LOC114182526,55,39,33,27,49,21
LOC114180301,6,1,2,18,3,27
LOC114180629,0,0,0,0,0,0
LOC114180222,0,0,0,0,0,0
LOC114180223,0,0,0,0,0,0
LOC114182178,256,229,222,301,238,364
LOC114181514,17,7,5,5,7,16
LOC114182059,798,855,572,347,599,510
LOC114181150,10,11,4,22,3,58
LOC114180631,0,0,0,0,0,0
LOC114181192,0,0,0,0,0,0
LOC114182306,39,33,53,98,32,117
LOC114182305,457,428,569,333,493,427
LOC114182790,0,0,0,0,0,0
LOC114182666,5,1,1,1,0,2
LOC114180632,0,0,0,0,0,0
LOC114181564,662,622,530,550,600,740
LOC114181188,4,2,0,2,8,8
LOC114181189,4,6,4,9,6,7
LOC114180413,240,168,167,200,172,209
LOC114182315,67,75,64,125,55,75
LOC114181457,1490,828,816,970,1010,1427
LOC114180633,0,0,0,0,0,1
LOC114180634,0,0,0,0,0,0
LOC114180635,0,0,0,0,0,0
LOC114180637,0,0,0,0,0,0
LOC114181187,650,575,595,808,735,930
LOC114180638,0,0,0,0,0,0
LOC114180639,0,0,0,0,0,0
LOC114180640,0,0,0,0,0,0
LOC114181332,280,162,198,141,169,193
LOC114180641,0,0,0,0,0,0
LOC114182449,3,0,2,462,21,352
LOC114182611,0,0,0,0,0,0
LOC114182654,0,0,0,0,0,0
LOC114181614,0,0,2,2,13,0
LOC114180642,0,0,0,0,0,0
LOC114180643,0,0,0,0,0,0
LOC114182619,17,19,12,10,13,2
LOC114180323,1,1,1,0,0,0
LOC114181477,0,2,1,0,0,0
LOC114180644,0,0,0,0,0,0
LOC114182463,1929,1181,1215,797,743,458
LOC114180264,0,0,0,0,0,0
