"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114181350",490.799149682403,-2.10564217209396,0.254021918298988,-8.28921451421992,1.13998784724278e-16,1.96864501340356e-12
"LOC114187837",1682.53672645841,-1.30709288802199,0.193354874683617,-6.76007207038747,1.37923115151233e-11,1.19089713777332e-07
"LOC114187574",981.00970817771,-1.11616189658945,0.195766012231286,-5.70151010314687,1.1875069597592e-08,6.83568589602719e-05
"LOC114179691",1227.59668816977,-1.2615496760138,0.230186668745029,-5.48055055877792,4.24004326597165e-08,0.000183053267900161
"LOC114186576",375.844992227202,-1.11708122432966,0.208710107260169,-5.35231014441076,8.68383945575674e-08,0.000299922447122926
"LOC114165775",444.562781865419,-1.47488201528416,0.299074631745802,-4.93148484936606,8.16068983541214e-07,0.00234878254612887
"LOC114179756",4578.63489238973,-1.30128503228924,0.267383273895439,-4.86674059050571,1.13453788231204e-06,0.00279890495566379
"LOC114172427",10.2680615049109,-6.918762613648,1.43683236994,-4.81528865746317,1.46987257214718e-06,0.00304590689461242
"LOC114183813",1184.37766089608,-0.883433686316495,0.184052381675315,-4.7999035832905,1.58742035158445e-06,0.00304590689461242
"LOC114183837",20.6172638783149,4.81609428493975,1.03630604129962,4.64736679417594,3.36199053456813e-06,0.0058058214541457
"LOC114183818",45.171023244692,3.09346246572979,0.671180031149303,4.60899061676889,4.0462859170266e-06,0.00582294262509437
"LOC114183715",81.0703307453552,2.52946748510012,0.547186134103,4.62268198598757,3.78810228871299e-06,0.00582294262509437
"LOC114177581",7410.78513821792,-0.686980291348605,0.154006056279429,-4.46073555771173,8.16788261389847e-06,0.0108500896045702
"LOC114175593",9.39510214872698,6.59135683994149,1.48416948176414,4.4411079199033,8.94968939756098e-06,0.0110394418718915
"LOC114187704",75.6591509451097,-2.01132195677761,0.461495435492789,-4.35827053116983,1.31094275601678e-05,0.0133168649727375
"LOC114187267",30.5341950093071,3.08087810808143,0.704359033364174,4.37401660537592,1.21981094254069e-05,0.0133168649727375
"LOC114194307",210.862191659792,-0.923782265364096,0.211573499782311,-4.36624750412778,1.2639924813483e-05,0.0133168649727375
"LOC114193380",68.6901516621079,-1.66139094227855,0.383006845137438,-4.33775783219325,1.43943627883199e-05,0.0138097917217498
"LOC114171158",496.792552432484,-0.931402530292757,0.218139266928544,-4.26976098071265,1.95682557535249e-05,0.0172455748348565
"LOC114162792",32.8617550421173,2.60575391682118,0.610934461786925,4.26519386252921,1.99728702702605e-05,0.0172455748348565
"LOC114178497",113.508311806829,1.78780420678955,0.42576281577045,4.19906140359951,2.68023638968721e-05,0.0200348961214469
"LOC114185055",16.3510441204805,3.9177507880813,0.930306440509121,4.21124762496244,2.53964172769074e-05,0.0200348961214469
"LOC114183479",174.084646765293,-1.07103258021395,0.255590803131661,-4.19041908821043,2.78439693621359e-05,0.0200348961214469
"LOC114184189",1074.20909891775,-0.779369454259285,0.185664390546961,-4.19773254291407,2.69600764045236e-05,0.0200348961214469
"LOC114193518",1821.9321798941,-0.675590667551254,0.161982846352906,-4.17075439012455,3.03592935797994e-05,0.0202967785463566
"LOC114164592",105.049818799681,1.88067250879915,0.451080298569817,4.16926324373279,3.05585871912255e-05,0.0202967785463566
"LOC114164475",35.5744447227945,3.27214198995697,0.800746719358995,4.0863632792356,4.38187503686699e-05,0.0215891418629029
"LOC114164970",36.1962572564165,2.19797400071814,0.539681358140538,4.0727254472736,4.64661866577327e-05,0.0215891418629029
"LOC114167599",35.029640268378,2.62926338892764,0.638055285245294,4.12074541145262,3.77648557312449e-05,0.0215891418629029
"LOC114171444",16.3055321245853,3.55844592453025,0.872637275203543,4.07780646741253,4.54625837225301e-05,0.0215891418629029
"LOC114175560",797.430435465088,-0.738375649568043,0.180614057433553,-4.08814053601385,4.34844706131186e-05,0.0215891418629029
"LOC114182796",19.9922587420917,3.12894043757669,0.755706461631595,4.14041773683026,3.46673918383698e-05,0.0215891418629029
"LOC114183063",47.9629500051354,2.92234315125926,0.713585127142373,4.09529716932594,4.21627219579732e-05,0.0215891418629029
"LOC114185769",112.360075911369,-1.29528443083793,0.318441991667538,-4.06756792361179,4.75063634715566e-05,0.0215891418629029
"LOC114185352",2764.64217816945,-0.607440170109634,0.148899152077723,-4.07954082769095,4.51247443905956e-05,0.0215891418629029
"LOC114187078",52.5101696965422,2.74754119227938,0.673207617657742,4.08126872039678,4.47905335112422e-05,0.0215891418629029
"LOC114194664",164.757351245485,-1.42707065269747,0.346209913261502,-4.1219809082115,3.75628338130274e-05,0.0215891418629029
"LOC114169508",21.6732519592304,4.31853358661675,1.04604894566644,4.1284240135297,3.65258103277079e-05,0.0215891418629029
"LOC114190631",12.3771003004035,5.04713548472946,1.24728141164658,4.04650902162213,5.1987122027676e-05,0.0224441402573984
"LOC114193155",2846.71383550292,-1.43494429391422,0.354290649941861,-4.05018956653159,5.11761588070335e-05,0.0224441402573984
"LOC114185552",19.401088672336,4.72192177762218,1.17133519709454,4.03123016309487,5.54856739514341e-05,0.0228138596063647
"LOC114187413",155.737248908017,-1.19289317741237,0.295543962715414,-4.03626305356483,5.43093213229097e-05,0.0228138596063647
"LOC114181667",359.454717830275,-1.17713171137532,0.292573319968788,-4.02337339406373,5.7370430610854e-05,0.0230402317725311
"LOC114170638",3982.56982845329,-0.992305225925489,0.247555726703376,-4.00841151662986,6.1128533860373e-05,0.0239915602553359
"LOC114177237",17.2407052810109,4.54982695540314,1.13908688025391,3.99427562047677,6.4892341492327e-05,0.0249027965606888
"LOC114181588",112.857868056542,-1.76804050431763,0.444096652539109,-3.9812065553949,6.85663322744113e-05,0.0254129527173532
"LOC114170536",36.1231017779862,-1.73203379912313,0.435278389835585,-3.97914033769826,6.91649069266085e-05,0.0254129527173532
"LOC114189161",2536.20831384252,-0.918292576531501,0.232044980147127,-3.95739039883242,7.57730356154684e-05,0.0272609281675734
"LOC114165968",148.255642994648,-1.08299581116182,0.274144971452012,-3.95044930215468,7.80046203911008e-05,0.0274910569292637
"LOC114180781",48.2042563838714,-2.01548686710257,0.524701515420873,-3.84120649143906,0.000122431067485036,0.0422852420879816
"LOC114173736",994.316190348297,-0.623308519571923,0.163383637355733,-3.81499965149387,0.000136183125738736,0.046112674478083
"LOC114194287",227.748110630189,-1.41841219407675,0.374169375599749,-3.7908291981491,0.000150145183382502,0.0462325111658851
"LOC114178169",81.3150722954596,1.28637511842711,0.339883781830696,3.7847499268673,0.000153863215132017,0.0462325111658851
"LOC114175638",51.9117521412029,2.66301819942234,0.70404140469132,3.78247384554025,0.000155277413146177,0.0462325111658851
"LOC114178290",9345.07455477712,-0.61474225636201,0.16200982830141,-3.79447508097049,0.000147956139751803,0.0462325111658851
"LOC114185591",140.678686810207,-1.10651875511609,0.291134466084519,-3.80071370455623,0.000144279924771674,0.0462325111658851
"LOC114188908",59.2396465123251,2.47629868949236,0.654323447285799,3.78451773318578,0.000154006926830677,0.0462325111658851
"LOC114195578",2034.67530537995,-1.12618477318993,0.295962649831999,-3.80515843411053,0.000141713451577275,0.0462325111658851
"LOC114196311",36.7917368710354,2.3826014046392,0.635170793660527,3.75111927125637,0.000176046924278408,0.0515280395824377
"LOC114193897",179.503212696992,0.960190523541577,0.256332703717053,3.74587600262454,0.000179765373471816,0.0517394705747464
"LOC114173875",186.647602372081,-1.04880210080345,0.281548414391127,-3.72512167426541,0.000195221035910198,0.0552667552316919
"LOC114173316",802.393625817537,-0.728450459463422,0.19693078551568,-3.69901769068717,0.000216435516460983,0.0584003895900738
"LOC114167506",352.713195455368,-0.706230872266373,0.190836653234777,-3.70070874905531,0.000214998130582515,0.0584003895900738
"LOC114193401",19947.1091873868,-0.698899196814378,0.188608106191828,-3.70556287810635,0.000210921794058119,0.0584003895900738
"LOC114187021",137.648788075385,0.949058824845471,0.256879708644523,3.694565171587,0.000220263395876334,0.0585189012828987
"LOC114163300",264.093055821766,-0.827532409221563,0.225323220401785,-3.67264593389864,0.000240051981226663,0.0628099646030795
"LOC114180415",238.409143493479,0.99800177184273,0.272776475794381,3.658679763115,0.000253517886773998,0.0639777820029781
"LOC114186681",66.4112521288406,2.22684804782378,0.608340949723154,3.66052630327974,0.000251697712568924,0.0639777820029781
"LOC114162179",123.12866337651,-0.923419812796514,0.252538335911393,-3.656553011898,0.000255629565012768,0.0639777820029781
"LOC114178931",32.9074778976169,2.02925300261923,0.556471528425917,3.64664299781761,0.000265688649666196,0.0655453898726504
"LOC114184230",939.844120779274,-1.17450234539999,0.322748596146954,-3.63906259987328,0.000273632282808066,0.0665543083353871
"LOC114190716",55.7323167437832,2.06502347573339,0.568352411752409,3.63335042314024,0.000279764655949144,0.066696043255827
"LOC114168733",18.0315016686744,2.65046202884703,0.729882808669773,3.63135286564367,0.000281939380257998,0.066696043255827
"LOC114185682",187.392109488125,-1.09518100932064,0.303314480942169,-3.61071125229082,0.000305358469148762,0.0712599378882429
"LOC114183395",50.6377055926733,2.50894607572223,0.696351750697906,3.60298667046889,0.000314581666456627,0.0724334773071933
"LOC114191865",72.931658326909,1.7725741497213,0.493363685536791,3.59283466068787,0.00032710015125634,0.0743249014742861
"LOC114193605",395.206560182189,0.807749106912187,0.225399889435887,3.5836268994353,0.000338856019658591,0.0759961636816131
"LOC114176392",201.466175641565,1.20267796100867,0.336131662592939,3.57799664491928,0.000346237894985564,0.0766561821603295
"LOC114168494",112.315709350131,-1.26292861347709,0.354316352018265,-3.56440961949163,0.000364676079328223,0.0797163444799884
"LOC114194335",795.308276229643,-0.859426628272866,0.241364333535622,-3.56070267584099,0.000369863700227647,0.0798397029903904
"LOC114176156",65.176085917353,2.24680195390162,0.632840949266692,3.55034224081914,0.000384730644499004,0.0820236234549791
"LOC114173144",1580.71430569082,-0.763183720572886,0.216768881777651,-3.52072545798209,0.000430367953548601,0.0888118978679985
"LOC114173111",3936.5217602264,-0.760019400981472,0.215673661350914,-3.52393239035747,0.000425192726960982,0.0888118978679985
"LOC114172280",20.0886194277842,3.46333692905526,0.989135038203926,3.50137928117883,0.000462856610580802,0.0888118978679985
"LOC114191687",3718.95517094218,-0.577461960880093,0.164284715625913,-3.51500721585696,0.000439742039603028,0.0888118978679985
"LOC114162645",3173.65442241605,-0.727782715997985,0.207376505066816,-3.50947526945493,0.000448991810953477,0.0888118978679985
"LOC114162454",27.4519651287924,2.26403009720591,0.643952217204155,3.51583554915867,0.000438372423018361,0.0888118978679985
