Geneid,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114181825,0,0,0,0,0,0
LOC114166223,100,77,67,105,93,88
LOC114181831,16,9,10,34,50,52
LOC114187015,415,489,364,838,631,764
LOC114176176,6,4,18,6,29,8
LOC114168871,120,201,153,242,154,180
LOC114176673,46,54,72,57,32,39
LOC114177793,33,64,42,101,43,63
LOC114162977,0,0,0,0,0,0
LOC114177407,60,56,189,72,140,91
LOC114192227,61,46,70,76,94,77
LOC114180481,311,315,309,380,336,448
LOC114185054,138,212,170,201,203,181
LOC114165270,2,2,0,8,10,2
LOC114195033,83,116,67,150,106,139
LOC114179443,4,5,0,19,50,14
LOC114191789,30,24,22,38,25,35
LOC114191780,1020,1768,1134,1817,1783,1807
LOC114179567,5,14,12,8,7,16
LOC114183053,0,0,0,0,0,0
LOC114181877,0,0,0,0,0,0
LOC114184835,0,0,0,0,0,0
LOC114164396,0,0,0,0,0,0
LOC114165252,0,0,0,0,0,0
LOC114184307,0,0,0,0,0,0
LOC114187349,0,0,0,0,0,0
LOC114165329,0,0,0,0,0,0
LOC114181941,0,0,0,0,0,0
LOC114181970,0,0,0,0,0,0
LOC114171263,0,0,0,0,0,0
LOC114181983,0,0,0,0,0,0
LOC114191971,0,0,0,0,0,0
LOC114195492,0,0,0,0,0,0
LOC114175091,0,0,0,0,0,0
LOC114173789,1158,1867,1982,1750,2112,1967
LOC114181994,0,0,0,0,0,0
LOC114183031,0,2,0,6,6,7
LOC114183016,46,51,52,53,73,81
LOC114182289,779,1152,1148,1161,1333,1382
LOC114182282,233,313,319,278,300,358
LOC114176222,2,2,4,0,0,2
LOC114182003,0,0,0,0,0,0
LOC114188485,231,273,226,286,245,304
LOC114178773,28,28,39,67,44,44
LOC114182038,0,0,0,0,0,0
LOC114169421,0,0,0,0,0,0
LOC114183842,0,0,0,0,0,0
LOC114183663,323,406,313,336,338,406
LOC114193342,183,211,171,216,232,273
LOC114175574,67,78,83,73,46,63
LOC114186983,310,339,240,335,272,359
LOC114178576,1723,2131,1612,2191,2069,2224
LOC114177357,40,2,6,0,30,0
LOC114177853,48,72,65,62,91,127
LOC114175281,104,116,130,140,140,113
LOC114192141,152,110,117,369,327,508
LOC114177597,12,26,24,46,44,25
LOC114178969,4,4,10,10,20,0
LOC114192015,489,1053,1043,1079,1199,1171
LOC114178778,8,8,8,10,12,5
LOC114164021,0,0,1,0,0,1
LOC114165132,0,0,0,0,0,0
LOC114165113,0,0,0,0,2,0
LOC114165121,1696,4702,5983,2773,3848,3617
LOC114165126,870,1879,2919,692,1423,948
LOC114182066,10779,26129,31778,13991,19488,19109
LOC114179167,0,0,0,22,32,6
LOC114164148,2,6,6,12,2,4
LOC114164954,487,346,208,523,380,603
LOC114164499,94,41,47,267,217,217
LOC114163049,164,191,145,254,237,241
LOC114177958,38,74,43,140,108,115
LOC114166405,44,26,25,37,24,35
LOC114184360,58,46,15,50,38,49
LOC114184379,16,6,4,5,15,9
LOC114184281,169,137,106,177,173,249
LOC114180896,0,0,0,0,0,0
LOC114180903,4,0,0,0,0,0
LOC114194858,62,87,76,96,122,84
LOC114181785,336,304,197,352,313,465
LOC114181339,1,0,1,0,0,0
LOC114181318,209,394,248,327,238,264
LOC114181329,1657,2700,2372,2692,2377,2864
LOC114191922,358,372,344,486,432,509
LOC114191934,0,0,0,0,0,0
LOC114189769,48,42,49,42,72,55
LOC114180751,2200,2749,2302,1561,1578,1812
LOC114182197,0,0,0,0,0,0
LOC114164078,351,199,292,78,153,135
LOC114164680,1,0,0,0,0,0
LOC114164670,114,111,108,81,68,89
LOC114165537,617,801,859,1093,1376,1013
LOC114194157,10,26,22,10,18,14
LOC114194488,105,97,183,136,431,290
LOC114195437,0,0,0,0,0,0
LOC114193557,12,9,4,36,50,20
LOC114193582,4,4,0,6,6,0
