Geneid,C-16H-RB1,C-16H-RB2,C-16H-RB3,T-16H-RB1,T-16H-RB2,T-16H-RB3
LOC114173789,1221,1344,1415,1273,1166,1273
LOC114181994,0,0,0,0,0,0
LOC114183031,4,4,4,0,0,0
LOC114183016,65,45,29,49,61,52
LOC114182289,713,942,780,717,759,908
LOC114182282,353,352,410,355,369,370
LOC114176222,863,867,727,1842,1992,1137
LOC114182003,0,0,0,0,0,0
LOC114188485,217,213,263,240,275,245
LOC114178773,44,20,23,46,46,43
LOC114182038,0,0,0,0,0,0
LOC114169421,0,0,0,0,0,0
LOC114183842,0,0,0,0,0,0
LOC114183663,354,375,316,394,381,264
LOC114193342,214,218,181,197,198,142
LOC114175574,42,45,49,69,57,41
LOC114186983,221,234,219,314,274,243
LOC114178576,1023,1316,1013,1735,1127,1644
LOC114177357,71,36,8,12,88,74
LOC114177853,38,43,42,45,60,29
LOC114175281,93,76,83,91,81,64
LOC114192141,433,428,454,661,511,570
LOC114177597,14,15,12,15,13,20
LOC114178969,11,4,0,12,6,6
LOC114192015,804,832,978,1192,896,1299
LOC114178778,0,2,1,2,6,9
LOC114164021,0,0,0,0,0,0
LOC114165132,0,0,0,0,0,0
LOC114165113,0,0,2,0,0,0
LOC114165121,4107,3163,4579,3693,2909,2144
LOC114165126,1761,1697,1946,1934,1865,2104
LOC114182066,24991,21923,26374,26873,22107,21362
LOC114179167,6,4,0,14,6,10
LOC114164148,3,0,6,3,22,42
LOC114164954,947,541,601,890,1080,750
LOC114164499,128,55,67,155,142,203
LOC114163049,139,113,147,143,117,160
LOC114177958,70,53,65,90,60,33
LOC114166405,53,36,35,36,43,21
LOC114184360,48,40,38,53,60,52
LOC114184379,18,1,17,21,30,12
LOC114184281,192,127,142,246,302,163
LOC114180896,0,0,0,0,0,0
LOC114180903,0,0,0,2,0,2
LOC114194858,78,74,63,87,74,54
LOC114181785,83,62,69,147,88,111
LOC114181339,0,0,0,0,0,0
LOC114181318,42,50,54,17,22,24
LOC114181329,158,138,178,154,193,123
LOC114191922,175,155,196,204,242,140
LOC114191934,0,0,0,0,1,0
LOC114189769,42,40,61,25,34,42
LOC114180751,528,531,727,734,678,561
LOC114182197,0,0,0,0,0,0
LOC114164078,121,189,79,129,367,482
LOC114164680,0,0,0,0,0,1
LOC114164670,108,63,43,121,142,156
LOC114165537,529,584,508,719,421,673
LOC114194157,23,13,8,16,41,32
LOC114194488,24,24,21,68,40,142
LOC114195437,0,0,0,0,0,0
LOC114193557,12,18,0,6,10,6
LOC114193582,2,2,2,2,0,4
LOC114182233,0,0,0,0,0,0
LOC114193573,586,613,826,748,432,521
LOC114193564,236,198,158,238,237,207
LOC114163460,7,9,6,6,9,10
LOC114182250,312,134,293,451,421,141
LOC114165142,12,10,9,17,10,10
LOC114173182,62,86,78,52,56,62
LOC114162197,12,10,24,4,7,12
LOC114179031,486,433,461,465,453,446
LOC114184488,25,22,32,20,14,26
LOC114182255,0,0,0,0,0,0
LOC114180288,584,435,534,744,724,699
LOC114180297,24,15,8,8,32,30
LOC114173662,201,152,155,150,111,169
LOC114176968,187,223,232,256,186,188
LOC114182348,0,0,0,0,0,0
LOC114195892,430,441,453,387,545,610
LOC114176946,21,9,41,25,31,43
LOC114186541,63,46,16,39,21,47
LOC114176275,2,0,0,0,0,0
LOC114176605,0,0,0,0,0,0
LOC114182081,0,0,0,0,2,0
LOC114175485,26,35,38,42,26,46
LOC114182398,0,0,0,0,0,0
LOC114182408,0,0,0,0,0,0
LOC114192657,1201,1507,1409,2496,2149,1925
LOC114182114,6,0,0,0,0,0
LOC114182110,5,9,6,5,5,5
LOC114178659,18,25,8,0,30,20
LOC114174529,133,78,134,176,188,87
LOC114174604,2,0,0,5,4,0
LOC114177996,0,0,0,0,0,0
LOC114182564,0,0,0,0,0,0
LOC114182579,0,0,0,0,0,0
LOC114173637,221,162,158,261,233,178
LOC114178083,172,99,107,153,171,95
TRNAL-CAA,0,0,0,0,0,0
TRNAL-CAA_1,0,0,0,0,0,0
TRNAL-CAA_2,0,0,0,0,0,0
LOC114165657,0,0,0,0,0,0
LOC114178024,73,104,132,105,92,125
LOC114189694,130,112,152,93,153,76
LOC114163953,59,54,34,47,59,56
LOC114189454,292,219,226,244,320,330
LOC114163783,0,0,0,0,0,0
LOC114192832,413,342,355,437,380,370
LOC114180619,56,63,70,77,63,44
LOC114182587,0,0,0,0,0,0
LOC114182598,0,0,0,0,0,0
LOC114164126,45,71,65,46,68,65
LOC114164133,575,466,431,455,392,450
LOC114164174,8,3,4,15,5,8
LOC114173722,4765,4177,3614,5186,5490,4297
LOC114163623,4,6,2,2,0,0
LOC114194175,3916,3424,3117,4433,4466,3932
LOC114187265,411,321,306,392,386,283
LOC114171176,15,4,2,14,2,8
LOC114194374,2,0,0,0,0,0
LOC114187851,83,68,62,65,61,76
LOC114166752,0,0,0,0,0,0
LOC114162924,12,2,10,6,6,6
LOC114180963,0,0,2,0,0,0
LOC114182635,1,1,4,4,3,0
LOC114182638,0,0,0,0,0,0
LOC114182649,0,0,0,0,0,0
LOC114175307,236,166,230,354,372,268
LOC114179223,1312,1224,1806,2643,2269,1630
LOC114186100,377,454,449,609,645,497
LOC114176922,126,84,99,110,77,87
LOC114182700,0,0,2,3,0,4
LOC114182757,0,0,0,0,0,0
LOC114173441,5,8,0,0,2,4
LOC114163003,3,4,3,2,5,5
LOC114178899,0,0,0,0,0,0
LOC114193392,393,257,280,350,371,236
LOC114182811,50,19,33,22,42,24
LOC114182858,0,0,0,0,0,0
LOC114182941,0,0,0,0,0,1
LOC114176244,219,151,148,206,234,142
LOC114176252,627,900,961,946,712,1065
LOC114192671,590,694,822,614,504,616
TRNAM-CAU,0,0,0,0,0,0
LOC114176348,36,37,29,28,17,36
LOC114162538,283,132,336,240,247,174
LOC114174763,1156,1171,1288,1811,1128,1487
LOC114195679,16,12,28,31,9,25
LOC114175951,649,788,764,1038,936,1081
LOC114176033,0,0,0,0,0,0
TRNAQ-UUG,0,0,0,0,0,0
TRNAQ-UUG_1,0,0,0,0,0,0
LOC114162555,2,6,16,2,6,16
LOC114182962,0,0,0,0,0,0
LOC114174019,110,97,131,105,110,99
LOC114182972,0,0,0,0,0,0
LOC114179457,0,0,0,0,0,0
LOC114173148,4,4,1,5,5,2
LOC114187335,0,4,0,0,0,0
LOC114173140,2,0,0,1,0,0
LOC114195742,16,26,26,28,45,23
LOC114187341,0,0,0,0,0,0
LOC114184384,549,273,195,519,520,278
LOC114191504,182,169,162,183,215,125
LOC114177659,51,73,70,57,40,74
LOC114185820,10,7,8,12,14,6
LOC114185827,54,45,39,44,43,52
LOC114195494,10,10,4,14,6,4
LOC114180507,14,8,2,10,10,18
LOC114173957,0,0,0,2,0,0
LOC114175071,16,31,30,6,24,36
LOC114187364,0,0,0,0,0,0
LOC114187145,27,16,20,28,29,42
LOC114178476,83,96,88,99,78,54
LOC114193171,99,111,105,94,126,81
LOC114165225,581,539,686,539,493,571
LOC114187374,0,0,0,0,0,0
LOC114187382,0,0,0,0,0,0
LOC114163483,28,48,35,38,39,28
LOC114194753,0,0,0,0,0,0
LOC114193633,8173,4772,5782,5191,5180,5919
LOC114187391,0,0,0,0,0,0
LOC114187398,0,0,0,0,0,0
LOC114185516,8,15,0,6,0,0
LOC114187407,0,0,0,0,0,0
LOC114185510,708,546,614,658,345,342
LOC114185503,1358,845,61,559,114,192
LOC114196166,1,0,0,0,0,0
LOC114181242,0,0,0,0,0,0
LOC114181251,0,4,0,32,11,0
LOC114187425,0,0,0,0,0,0
LOC114187135,89,67,20,58,62,55
LOC114187129,3903,1923,1839,3747,2569,2466
LOC114187119,6662,3504,3989,6351,4901,4376
TRNAQ-UUG_2,0,0,0,0,0,0
TRNAQ-UUG_3,0,0,0,0,0,0
TRNAQ-UUG_4,0,0,0,0,0,0
TRNAQ-UUG_5,0,0,0,0,0,0
LOC114181372,4,6,2,10,2,4
LOC114186146,614,435,467,564,702,544
LOC114165482,260,224,270,238,231,321
LOC114185162,391,260,254,454,242,224
LOC114187450,0,0,0,0,0,0
LOC114187459,0,0,0,0,0,0
LOC114187470,0,0,0,0,0,0
LOC114191950,234,103,123,148,212,104
LOC114192815,2035,1068,2200,2187,2721,1349
LOC114162108,2,0,0,0,2,2
LOC114162656,2,0,0,0,0,0
LOC114164766,106,34,38,17,46,16
LOC114179622,152,39,46,118,102,160
LOC114184223,342,282,265,319,305,252
LOC114195829,1137,986,942,1127,1245,1569
LOC114187513,0,0,0,0,0,0
LOC114180307,12,10,6,14,4,6
LOC114164305,192,110,10,144,34,84
LOC114162709,0,0,0,0,0,0
LOC114176465,92,66,73,47,63,65
LOC114194293,1016,806,945,1082,1016,854
LOC114196291,924,738,940,1609,1669,1596
LOC114192481,1675,1331,1241,1500,1710,1551
LOC114175644,509,425,466,615,480,510
LOC114187531,0,0,0,0,0,0
LOC114179175,429,365,308,312,247,310
LOC114181597,0,2,0,2,0,0
LOC114192349,737,1008,1053,944,859,1207
LOC114195336,567,507,479,467,529,445
LOC114195320,182,158,156,126,159,83
LOC114173782,197,232,199,208,102,110
LOC114182128,0,0,6,8,0,8
LOC114182254,204,79,126,127,179,88
LOC114167090,391,197,225,328,383,274
LOC114162801,0,0,0,0,0,0
LOC114165476,0,0,0,0,0,0
LOC114165425,0,0,0,0,0,0
LOC114162665,0,0,0,0,0,0
LOC114165430,0,0,0,0,0,0
LOC114165483,0,0,0,0,0,0
LOC114162814,0,0,0,0,0,0
LOC114165492,0,0,0,0,0,0
LOC114165435,0,0,0,0,0,0
LOC114175133,0,0,0,0,0,0
LOC114188920,30,36,40,30,36,31
LOC114192978,512,1621,481,304,442,916
LOC114173617,0,1,0,0,1,1
LOC114192415,86,49,40,98,110,88
LOC114177830,127,119,95,162,148,146
LOC114164014,343,214,85,625,324,490
LOC114175360,0,0,0,0,0,0
LOC114180538,0,0,0,0,0,0
LOC114187546,0,0,0,0,0,0
LOC114183795,635,450,476,485,511,444
LOC114175735,28,28,34,37,60,41
LOC114162457,257,229,226,256,306,241
LOC114191637,203,202,198,245,225,282
LOC114165340,284,172,164,180,239,151
TRNAL-UAG,0,0,0,0,0,0
LOC114164514,0,0,0,0,0,0
LOC114183927,156,180,163,192,168,173
LOC114187554,0,0,0,0,0,0
LOC114187564,0,0,0,0,0,0
LOC114193742,144,120,168,152,162,127
LOC114187575,0,0,0,0,0,0
LOC114187584,0,0,0,0,0,0
LOC114174567,105,82,129,181,172,205
LOC114187593,0,0,0,0,0,0
LOC114163994,0,0,2,0,0,0
LOC114176613,38,38,30,51,36,44
LOC114193850,283,211,231,238,242,213
LOC114176988,66,78,84,93,99,100
LOC114162139,0,0,0,0,0,0
LOC114187605,0,0,0,0,0,0
LOC114184035,31,35,37,70,44,55
LOC114191973,980,653,943,1235,1626,1002
LOC114181837,4141,3147,3804,2724,2896,3156
LOC114170958,253,275,265,331,377,389
LOC114170575,51,11,32,44,40,40
LOC114170666,139,91,134,140,96,132
LOC114177888,951,1087,1016,903,693,753
LOC114192780,510,387,451,631,556,585
LOC114180570,2,0,0,0,0,0
LOC114177971,1,6,0,41,9,0
LOC114163225,0,0,0,0,0,0
LOC114187631,0,0,0,0,0,0
LOC114187647,0,1,0,0,0,0
LOC114177478,12,5,12,12,20,28
LOC114162284,233,124,173,300,287,216
TRNAS-GCU,0,0,0,0,0,0
LOC114184159,94,116,122,173,163,159
LOC114177429,170,67,103,201,204,188
LOC114175255,34,20,24,31,33,10
LOC114162165,10,22,11,7,18,16
LOC114178237,0,0,0,0,0,0
LOC114181822,4,2,2,4,6,4
LOC114179809,0,0,0,0,0,0
LOC114174167,0,0,0,0,0,0
LOC114162506,2,2,0,2,0,8
LOC114177325,136,82,101,123,90,81
LOC114174589,0,0,0,0,0,0
LOC114194795,363,423,430,334,332,388
LOC114162764,729,437,345,573,814,450
LOC114162247,0,4,4,2,4,0
LOC114171760,87,103,110,104,107,136
LOC114164049,1135,1074,1119,1482,957,1210
LOC114189615,339,345,331,489,433,390
LOC114175119,116,138,144,106,136,105
LOC114195213,9,7,2,4,4,9
LOC114195221,229,198,206,201,227,182
LOC114187676,0,0,0,0,0,0
LOC114196035,54,71,104,63,42,59
LOC114175304,99,123,175,144,108,121
LOC114165620,0,0,0,0,0,0
LOC114163103,0,0,0,0,0,0
LOC114191645,1161,1390,1111,1980,1649,1176
LOC114192558,361,270,313,383,402,439
LOC114178728,0,0,0,0,0,0
LOC114180464,67,90,38,141,66,88
LOC114181549,3,9,6,9,15,3
LOC114165518,0,0,0,0,0,0
LOC114165550,0,0,0,2,0,0
LOC114185105,0,0,0,0,0,0
LOC114165530,0,0,0,0,0,0
LOC114185097,199,135,102,195,296,157
LOC114185137,513,344,350,397,443,513
LOC114177487,13,36,6,44,11,31
LOC114187720,0,0,0,0,0,0
LOC114163913,0,0,0,0,0,0
LOC114192646,334,306,398,270,230,237
LOC114189136,54,19,10,36,50,42
LOC114194781,26,12,6,18,14,10
LOC114187732,23,10,13,21,13,15
LOC114183753,841,972,1599,1651,2014,1957
LOC114187736,0,0,0,0,0,0
LOC114164943,0,0,0,0,0,0
LOC114187751,4,1,0,4,0,2
LOC114179252,2,4,14,4,2,6
LOC114179107,0,8,15,8,14,14
LOC114187766,0,0,0,0,0,0
LOC114185195,469,478,529,427,375,274
LOC114176123,14,10,5,7,20,8
LOC114187768,16,9,12,8,15,8
LOC114176116,126,107,108,159,174,127
LOC114176321,0,0,0,0,0,0
LOC114187778,0,0,0,0,0,0
LOC114182072,0,0,0,0,0,0
LOC114165607,0,0,0,0,0,0
LOC114195363,7,15,8,7,0,8
LOC114187795,0,0,0,0,0,0
LOC114187801,0,0,0,0,0,0
LOC114187808,0,0,0,0,0,0
LOC114163889,38,20,9,28,2,8
LOC114181638,6,2,0,1,2,2
LOC114173969,90,76,95,87,86,99
LOC114186780,90,83,127,48,56,70
LOC114186801,4,0,2,0,1,0
LOC114186794,0,0,0,0,0,0
LOC114185549,16,12,20,25,21,26
LOC114185624,0,0,0,0,0,0
LOC114176312,18,8,16,16,6,2
LOC114187816,0,0,0,0,0,0
LOC114163964,6,14,1,2,2,4
LOC114194913,0,0,0,0,0,0
LOC114183182,464,414,391,437,516,409
LOC114187834,0,0,0,0,0,0
LOC114186767,149,118,126,113,110,97
LOC114178747,19,25,32,19,25,14
LOC114191694,27884,31685,32623,51832,33707,40914
LOC114187849,216,122,100,138,214,44
LOC114185307,3411,4136,3539,4660,2685,3583
LOC114187858,0,0,0,0,0,0
LOC114191515,210,96,149,321,263,193
LOC114175465,0,0,0,0,0,0
LOC114187880,0,0,0,0,0,0
LOC114187895,0,0,0,0,0,1
LOC114165625,0,0,0,0,0,0
LOC114180646,10,12,4,4,2,12
LOC114192639,354,273,311,355,413,441
LOC114187904,0,0,0,0,0,0
LOC114187913,3,2,6,1,2,5
LOC114187918,0,0,0,0,0,0
LOC114174486,0,0,0,0,0,0
LOC114177874,549,404,431,454,407,463
LOC114165602,0,0,0,0,0,0
LOC114183054,50,37,66,34,56,36
LOC114187944,0,0,0,0,0,0
LOC114187971,0,0,0,0,0,0
LOC114184634,2409,2134,2272,2937,2449,2575
LOC114185042,11537,15876,12692,21451,11378,15859
LOC114187977,0,0,0,0,0,0
LOC114173050,38,56,34,67,51,60
LOC114194234,948,741,997,1224,985,858
LOC114187999,0,0,0,0,0,0
LOC114165643,0,0,0,0,0,0
LOC114177053,0,0,0,0,0,0
LOC114185421,288,262,234,240,288,270
LOC114194833,3470,2783,3693,4801,4283,3864
LOC114194847,280,242,364,248,308,232
LOC114188022,0,0,0,0,0,0
LOC114167809,72,63,41,54,55,42
LOC114181151,114,67,82,159,184,111
LOC114186715,258,231,278,309,281,269
LOC114188032,0,0,0,0,0,0
LOC114181986,2,0,0,2,0,4
LOC114188047,0,0,0,0,0,0
LOC114175616,78,72,97,102,104,34
LOC114188055,0,0,0,0,0,2
LOC114188063,0,0,0,0,0,0
LOC114170289,13,2,17,13,14,20
LOC114188077,0,0,0,0,0,0
LOC114184665,855,743,739,861,855,444
LOC114188083,0,0,0,0,0,0
LOC114175381,4,4,0,0,4,2
TRNAS-AGA,0,0,0,0,0,0
LOC114195923,0,0,0,0,2,0
LOC114165421,0,0,0,0,0,0
LOC114176685,278,157,227,402,241,225
LOC114165408,0,0,0,0,0,0
LOC114165414,2,0,0,0,0,0
LOC114177203,269,373,304,402,326,360
LOC114177208,0,0,0,0,0,0
LOC114177193,36,48,52,77,61,92
LOC114179242,4,3,0,0,0,0
LOC114188090,0,0,0,0,0,0
LOC114183462,277,313,272,304,334,355
LOC114190617,0,0,0,0,0,0
LOC114192044,1,1,6,3,1,2
LOC114188106,0,0,0,1,0,0
LOC114192052,0,0,0,0,0,0
LOC114165636,0,0,0,0,0,0
LOC114192037,0,0,0,0,0,1
LOC114185903,23,22,26,24,34,26
LOC114193643,392,258,354,377,380,312
LOC114188114,133,97,99,135,228,119
LOC114175660,698,568,713,873,818,683
LOC114175675,20,9,6,20,20,7
LOC114175394,147,90,51,74,74,62
LOC114162148,597,545,540,777,570,661
LOC114188127,1,0,0,0,0,0
LOC114188143,0,0,0,0,0,0
LOC114188152,0,0,0,0,0,0
LOC114173184,103,88,103,78,103,93
LOC114179906,517,524,557,568,541,478
LOC114162376,94,59,120,65,71,104
LOC114194740,0,2,2,0,0,0
LOC114162369,0,2,0,2,0,0
LOC114180636,6,0,2,4,13,12
LOC114181057,20,15,14,23,28,15
LOC114181213,13,6,8,4,4,13
LOC114188171,0,0,0,0,0,0
LOC114188180,0,0,0,0,0,0
LOC114166167,2,0,0,0,0,0
LOC114166053,178,86,75,113,168,81
TRNAN-GUU,0,0,0,0,0,0
LOC114170487,159,131,192,176,145,194
LOC114188190,0,0,0,0,0,0
LOC114195593,0,0,0,0,0,0
LOC114162847,51,38,22,57,17,36
LOC114188206,0,0,0,0,0,0
TRNAD-GUC_1,0,0,0,0,0,0
LOC114192900,816,630,684,982,974,983
LOC114180877,2192,2473,2527,3289,2999,2873
LOC114179603,0,0,0,0,0,0
LOC114188247,0,0,0,0,0,0
LOC114188262,0,0,0,0,0,0
LOC114169614,1702,1503,918,2006,1468,1984
LOC114180195,0,0,0,0,0,0
LOC114162093,0,0,0,0,0,0
LOC114185602,2,0,8,12,8,20
LOC114188284,0,0,0,0,0,0
LOC114185610,1175,1069,1304,1360,1121,1231
LOC114173175,369,368,350,587,434,355
LOC114178268,87,64,80,45,62,60
LOC114173341,113,127,127,161,156,150
LOC114186856,41,38,34,52,45,67
LOC114178872,438,338,401,399,446,318
LOC114193179,824,742,655,875,975,756
LOC114162253,44,56,38,33,50,62
LOC114195646,193,110,124,184,214,136
LOC114191456,146,78,91,116,149,50
LOC114175092,355,643,520,486,462,837
LOC114164231,161,180,152,137,118,139
LOC114188306,6,5,18,8,12,6
LOC114182094,0,0,0,0,0,0
LOC114163880,0,0,0,0,0,0
LOC114169561,751,575,363,651,800,541
LOC114174574,40,44,26,46,37,37
LOC114191670,53,52,43,73,125,114
LOC114165704,0,0,0,0,0,0
LOC114188316,0,0,0,0,0,0
LOC114178499,38,22,35,40,63,27
LOC114178043,3,4,0,2,2,2
LOC114178035,145,144,165,152,114,173
LOC114162839,337,206,245,743,1005,668
LOC114188320,0,0,0,0,0,0
LOC114188328,0,0,0,0,0,0
LOC114163584,923,769,881,1068,1124,915
LOC114163594,39806,36747,40705,59414,37670,45175
LOC114162092,919,806,813,933,941,860
LOC114186848,92,68,97,92,97,82
LOC114183859,195,139,158,204,186,162
LOC114175720,257,237,229,289,326,369
LOC114164375,754,573,764,806,714,836
LOC114188348,0,0,0,0,0,0
LOC114194215,187,150,141,157,205,162
LOC114192314,154,125,173,197,221,195
LOC114188354,0,0,0,0,0,0
LOC114188376,0,0,0,0,0,0
LOC114195536,2,2,0,2,4,1
LOC114165562,0,0,1,0,0,1
LOC114188391,0,0,0,0,0,0
LOC114188399,0,0,0,0,0,0
LOC114164520,0,2,0,1,10,0
LOC114175998,34,54,77,110,120,104
LOC114175497,14,18,10,14,20,10
LOC114188413,0,0,0,0,0,0
LOC114164629,8720,8584,9851,12647,10164,9479
LOC114195310,4,2,4,6,9,4
