Geneid,C-16H-RB1,C-16H-RB2,C-16H-RB3,T-16H-RB1,T-16H-RB2,T-16H-RB3
LOC114164547,372,204,142,156,237,62
LOC114181237,0,0,0,0,0,0
LOC114187231,378,280,300,403,348,463
LOC114174903,185,211,158,203,165,234
LOC114185176,607,432,570,623,631,621
LOC114191509,112,85,83,135,111,112
LOC114193353,262,265,298,262,234,147
LOC114163600,204,125,129,176,149,148
LOC114183160,24,12,22,12,28,21
LOC114181268,231,239,244,281,276,260
LOC114179399,0,0,0,0,0,0
LOC114192272,0,0,0,0,0,2
LOC114177945,0,0,0,2,0,0
LOC114177930,39,14,12,48,14,22
LOC114177937,1070,908,846,948,1021,1053
LOC114181308,193,151,200,271,246,203
LOC114192868,227,160,205,292,244,155
LOC114173575,288,280,247,370,336,354
LOC114181396,0,0,0,0,0,0
LOC114163244,132,93,126,123,148,98
LOC114163256,189,219,197,226,232,253
LOC114193122,263,200,241,243,268,232
LOC114194366,210,203,234,243,187,222
LOC114183741,71,55,88,81,70,46
LOC114175907,82,90,78,105,96,113
LOC114195859,59,61,68,144,58,66
LOC114192406,133,93,121,78,120,108
LOC114191889,727,651,831,806,779,958
LOC114192680,191,116,145,158,216,184
LOC114173837,579,473,485,678,789,628
LOC114191802,45,17,34,32,43,44
LOC114191807,83,96,72,70,57,64
LOC114195797,193,176,136,129,208,133
LOC114169535,774,659,577,597,695,669
LOC114163742,180,150,152,168,196,154
LOC114178314,86,45,33,70,43,60
LOC114178322,0,0,0,0,0,0
LOC114185051,1054,773,668,1130,897,751
LOC114184555,0,0,0,0,1,0
LOC114183376,0,1,0,0,0,0
LOC114183266,20,15,9,20,13,6
LOC114183369,44,51,25,33,60,29
LOC114183292,636,577,582,569,665,616
LOC114183352,7260,5744,4634,14652,7374,8383
LOC114183306,427,374,349,381,428,351
LOC114183361,4,5,4,4,1,7
LOC114183228,2,0,1,3,4,0
LOC114174196,94,87,87,91,112,89
LOC114193617,4,0,6,0,8,2
LOC114193606,6,10,2,6,9,12
LOC114181510,0,0,0,0,0,0
LOC114181520,0,0,0,0,0,0
LOC114175819,0,2,0,0,4,0
LOC114196257,0,0,0,0,0,0
LOC114186121,328,287,346,366,349,370
LOC114184412,222,217,174,187,208,207
LOC114173117,2,4,0,2,2,4
LOC114173197,592,469,594,748,659,565
LOC114193285,422,382,411,518,532,376
LOC114186935,34,43,65,76,87,124
LOC114181529,0,0,0,1,0,0
LOC114186948,0,2,2,2,2,2
LOC114186917,30,23,46,38,36,67
LOC114186953,498,612,527,716,482,602
LOC114182660,262,192,238,270,307,243
LOC114177338,385,351,413,537,535,497
LOC114194671,61,20,26,48,31,40
LOC114179753,430,382,384,444,485,331
LOC114174140,33,22,8,27,29,23
LOC114181606,0,0,0,0,0,0
LOC114174161,8,2,12,6,2,2
LOC114175805,83,24,22,51,41,15
LOC114175796,24,24,8,26,19,13
LOC114162491,47,14,10,24,20,9
LOC114191847,3868,4621,4388,5281,4233,5273
LOC114182418,994,755,840,931,952,770
LOC114162914,4,8,14,10,6,9
LOC114193925,73,28,43,26,32,47
LOC114193931,112,76,82,84,46,45
LOC114186551,374,411,344,413,381,352
LOC114181662,0,0,0,0,0,0
LOC114177567,52,55,44,27,27,8
LOC114179232,30,45,52,22,11,31
LOC114185297,216,169,132,183,182,234
TRNAD-GUC,0,0,0,0,0,0
LOC114179639,83,84,95,74,103,92
LOC114164417,248,324,222,188,332,437
LOC114179090,0,2,0,0,0,0
LOC114179081,0,0,0,0,0,0
LOC114164858,0,0,0,0,0,0
LOC114179857,12,0,0,6,4,0
LOC114175348,32,26,31,22,36,20
LOC114163990,10,10,8,10,16,12
LOC114163986,0,0,4,9,6,8
LOC114163396,36,21,22,33,39,24
LOC114177550,74,51,48,151,66,38
LOC114162125,219,192,206,210,244,174
LOC114164341,0,0,0,0,0,0
LOC114178215,4,4,0,0,0,6
LOC114165512,0,0,0,0,0,0
LOC114180063,219,249,536,290,392,272
LOC114183973,454,467,474,687,580,504
LOC114184672,231,190,238,286,301,228
LOC114194731,153,150,150,139,103,176
LOC114178924,231,304,231,287,269,267
LOC114194883,437,337,481,477,500,485
LOC114194008,188,139,127,129,180,177
LOC114194000,10,2,6,10,2,4
LOC114194287,59,79,44,152,72,170
LOC114194280,2,6,1,2,8,2
LOC114178990,23,7,2,10,9,2
LOC114163344,6,16,2,8,15,14
LOC114196174,0,0,0,0,0,0
LOC114181082,28,40,12,61,60,31
LOC114174664,859,628,696,892,983,686
LOC114174687,6,2,0,16,4,2
LOC114174614,32,40,37,18,38,38
LOC114181677,0,0,0,0,0,0
LOC114162605,87,83,88,128,109,131
LOC114163221,299,350,367,341,304,479
LOC114179338,21,14,6,9,14,14
LOC114180345,0,0,0,0,0,0
LOC114162522,50,40,27,51,54,27
LOC114184836,43,30,27,28,46,18
LOC114181846,513,476,523,602,566,639
LOC114181855,11,15,10,10,11,25
LOC114181680,0,0,0,0,0,0
LOC114181750,112,134,126,144,103,181
LOC114162943,122,109,147,139,152,164
LOC114183092,519,449,539,563,560,520
LOC114164498,0,0,0,0,0,0
LOC114185662,18,8,6,8,18,28
LOC114185670,2,0,0,3,0,2
LOC114181725,0,0,0,0,0,0
LOC114180237,2,4,0,4,2,0
LOC114179530,1182,1039,787,1306,888,1340
LOC114175493,32,22,13,9,45,35
LOC114163378,17,24,14,26,15,5
LOC114173889,125,73,93,121,112,140
LOC114164757,989,1154,1145,1336,989,1069
LOC114193783,132,65,72,126,122,90
LOC114187280,777,657,677,886,829,635
LOC114183900,0,0,0,0,0,0
LOC114181736,30,25,20,41,40,11
LOC114181742,5,4,4,3,4,3
LOC114172510,7,4,6,8,8,6
LOC114172612,0,0,0,0,0,2
LOC114177800,37,76,57,63,49,44
LOC114185571,137,141,192,153,170,147
LOC114174206,187,182,175,181,191,138
LOC114175221,577,294,381,437,404,220
LOC114177992,4,2,0,0,0,1
LOC114163561,24,11,12,12,10,20
LOC114162292,1354,812,1171,1171,1116,1289
LOC114178370,65,45,62,38,39,20
LOC114179009,68,57,34,46,59,64
LOC114179017,108,82,134,133,130,132
LOC114177299,4,0,4,0,4,8
LOC114194118,7,18,8,6,2,4
LOC114194093,16,16,36,19,18,16
LOC114181815,0,0,0,0,0,2
LOC114194101,0,0,0,0,0,0
LOC114181825,0,0,0,0,0,0
LOC114166223,106,64,69,80,68,69
LOC114181831,42,20,22,20,56,49
LOC114187015,421,247,414,450,713,317
LOC114176176,60,22,16,26,56,85
LOC114168871,103,76,78,106,141,143
LOC114176673,14,7,8,28,30,18
LOC114177793,2,4,6,2,2,0
LOC114162977,0,0,0,0,0,0
LOC114177407,51,124,151,94,150,257
LOC114192227,72,60,86,74,67,59
LOC114180481,441,288,298,332,385,325
LOC114185054,64,53,68,51,52,37
LOC114165270,2,0,0,0,0,0
LOC114195033,121,94,136,155,138,105
LOC114179443,20,43,38,65,32,17
LOC114191789,31,33,37,49,36,25
LOC114191780,3059,4194,4025,4408,2613,3793
LOC114179567,16,8,12,17,8,7
LOC114183053,0,0,0,0,0,0
LOC114181877,0,0,0,0,0,0
LOC114184835,0,0,0,0,0,0
LOC114164396,0,0,0,0,0,0
LOC114165252,0,0,0,0,0,0
LOC114184307,0,0,0,0,0,0
LOC114187349,0,0,0,0,0,0
LOC114165329,0,0,0,0,0,0
LOC114181941,0,0,0,0,0,0
LOC114181970,0,0,0,0,0,0
LOC114171263,0,0,0,0,0,0
LOC114181983,0,0,0,0,0,0
LOC114191971,0,0,0,0,0,0
LOC114195492,0,0,0,0,0,0
LOC114175091,0,0,0,0,0,0
