"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114178231",417.631596027798,6.6435957162962,0.753817477094992,8.81326835495883,1.21549120080065e-18,2.50488426660999e-14
"LOC114189844",1467.63255244127,4.28049478564677,0.496858160140704,8.61512425283422,6.98657848666965e-18,7.1989704726644e-14
"LOC114175025",388.721414830342,4.64980442311532,0.561382398338019,8.28277558555653,1.20337062603752e-16,8.26635395379371e-13
"LOC114193590",130.435808326631,4.50868298821135,0.561312957222706,8.03238715621255,9.55941488978243e-16,4.92501055121591e-12
"LOC114163822",167.216800390061,6.35310865710081,0.799094004337686,7.95038959448389,1.85925873774742e-15,7.66312081349975e-12
"LOC114170232",224.457274121898,5.60927958111848,0.715584401382072,7.83873931612369,4.55092213291241e-15,1.33979147592941e-11
"LOC114177148",1472.25917461903,-1.90901499440262,0.243255936594942,-7.84776322882275,4.23522821748983e-15,1.33979147592941e-11
"LOC114164478",418.555784155987,6.57440455268875,0.85028096025052,7.73203783223809,1.05838478143026e-14,2.72639919696436e-11
"LOC114191052",446.496645011768,-1.78668107792022,0.233645425829292,-7.64697648832047,2.05759929619853e-14,4.71144514400659e-11
"LOC114166149",301.201958055758,-3.27821163508317,0.430246858090197,-7.61937379307003,2.54909305157206e-14,5.2531709606797e-11
"LOC114189945",46.4100536443244,4.70483325748364,0.622153200234129,7.56217802257244,3.96375372390873e-14,7.42591243111919e-11
"LOC114162439",198.585864059399,6.24721707799818,0.831278538137102,7.51519110790255,5.68278597345209e-14,9.00852718006929e-11
"LOC114184456",124.429987072721,4.20485868085646,0.559462804415951,7.51588603865473,5.65267776119673e-14,9.00852718006929e-11
"LOC114173199",183.154697863581,-2.73772282013223,0.365336461760106,-7.49370267326321,6.6957310408336e-14,9.85611609210705e-11
"LOC114178713",1119.98104366295,5.37124336374816,0.72023952561315,7.45757928124751,8.81265372854082e-14,1.21074112025179e-10
"LOC114190113",228.623792221623,5.79828802959136,0.789209580243907,7.34695596041724,2.02771639722707e-13,2.61169871962847e-10
"LOC114179685",396.329944622836,4.66339068721541,0.637329154289485,7.31708357577695,2.53418035925767e-13,3.07202287315188e-10
"LOC114195405",15956.7571735488,-1.54961309343045,0.212170489563165,-7.30362217960152,2.80122269890804e-13,3.20708874328316e-10
"LOC114194335",567.858165753962,-1.97656007837586,0.27139061479897,-7.28308191438375,3.26278971591733e-13,3.53892476134865e-10
"LOC114188793",329.311181793519,5.8874235071476,0.813647912616677,7.23583679851615,4.62667427608758e-13,4.76732517408065e-10
"LOC114186845",732.994036442286,5.63243553456908,0.79245615317544,7.10756741808292,1.18106049442897e-12,1.1590140318663e-09
"LOC114170548",267.851327198799,6.25457192301927,0.882001083048681,7.09134267885481,1.32817007570396e-12,1.24413313273214e-09
"LOC114165755",124.033420296547,-2.7229354302989,0.38462061495191,-7.07953584505436,1.44638085187004e-12,1.29595724327556e-09
"LOC114180105",66.3206181056291,6.58319951910054,0.933349458233425,7.0533061984744,1.74715792955211e-12,1.50022627550875e-09
"LOC114170381",99.9593844675501,10.0558172735658,1.44457565886738,6.96108730050878,3.37656438504317e-12,2.78336955387878e-09
"LOC114182442",757.892217942897,3.33289505144252,0.479703859286378,6.94781788164188,3.70979469139373e-12,2.94044034616315e-09
"LOC114173797",418.105229147764,5.8566106076878,0.848856222085358,6.89941412374884,5.22174430224329e-12,3.98554468817147e-09
"LOC114190353",204.014729237229,5.26981353508981,0.765441899056054,6.88466824404121,5.79223614956593e-12,4.26308580608052e-09
"LOC114176568",2341.27683245911,7.59770638384083,1.11613671313616,6.80714673607729,9.95533794674846e-12,6.98470888216544e-09
"LOC114162400",208.367637703799,5.51595679719022,0.810680764263145,6.80410469860335,1.01679574177486e-11,6.98470888216544e-09
"LOC114173776",119.87814750837,5.15248009914977,0.758429602462728,6.79361681350377,1.09356612513e-11,7.26974538925133e-09
"LOC114191479",862.050528190583,-1.77623134475923,0.261753681934088,-6.78588867073321,1.15374096500191e-11,7.43009181461233e-09
"LOC114164438",78.1174118312796,-3.01830540611866,0.44519061054816,-6.77980472769235,1.20338421460834e-11,7.51495208928748e-09
"LOC114183395",410.303461892494,4.30887543795092,0.638772761031716,6.74555288016889,1.52445400217307e-11,9.23998472846546e-09
"LOC114172221",275.927709809823,-1.65847047264273,0.247043768191627,-6.71326576979787,1.90316013829692e-11,1.12058068942923e-08
"LOC114168418",95.384398924939,6.5387029896207,0.978947127524179,6.6793219018452,2.40050366574078e-11,1.37415498732184e-08
"LOC114179639",181.986087641929,4.24052743746884,0.63792733164947,6.64735186452073,2.98413066743057e-11,1.66208012957863e-08
"LOC114170382",63.2544481431568,9.39568045244763,1.41496763597325,6.64020873239624,3.13239243484349e-11,1.69874587624354e-08
"LOC114175817",178.595456871908,6.2372377230337,0.942072098293355,6.62076473163041,3.5734532590376e-11,1.84104311905617e-08
"LOC114182449",132.726698158097,7.29576618823604,1.10192091267276,6.62095265125683,3.56891284184401e-11,1.84104311905617e-08
"LOC114177547",140.500309429829,5.87434492876204,0.896051165938471,6.55581416783226,5.53391104079303e-11,2.7815326519186e-08
"LOC114162792",177.858893282858,5.68360285597745,0.869557165816098,6.53620380512104,6.30999170954936e-11,3.09610259881889e-08
"LOC114180289",108.726160008951,6.3269505182325,0.972160323794849,6.50813488616272,7.60895824384374e-11,3.56375935202572e-08
"LOC114190613",117.553801764209,4.26203962320932,0.654735287046488,6.50956150910299,7.53704892826354e-11,3.56375935202572e-08
"LOC114176921",77.2669199081567,5.31332281163122,0.818485951904912,6.49164814529217,8.49023648326409e-11,3.88815096549125e-08
"LOC114166881",143.614756280999,2.5452634955879,0.392730676760552,6.48093883722699,9.11536207830754e-11,4.08368221108178e-08
"LOC114193839",993.306413455064,-1.35266505083345,0.208952719531369,-6.47354604365599,9.57292243312743e-11,4.19742096812532e-08
"LOC114175886",1960.41943356473,4.07626800721365,0.632023285525081,6.44955352210973,1.12180138950898e-10,4.71797612959205e-08
"LOC114187648",1137.9553280972,-1.23942142284974,0.192157762667923,-6.45002005457171,1.11835351670233e-10,4.71797612959205e-08
"LOC114187945",113.270894996501,6.37945362420568,0.990580064006806,6.44011913423876,1.19379760503134e-10,4.92035620889715e-08
"LOC114173949",631.807533607263,-1.39832093444457,0.217483245026812,-6.42955706437144,1.27976309855413e-10,5.17124665392227e-08
"LOC114178445",278.004369086794,2.22705179312512,0.347463230245229,6.4094603378704,1.46035631830411e-10,5.7875044245406e-08
"LOC114166233",86.3388270656467,6.18542212438587,0.96664315982906,6.39886814642095,1.56532939198342e-10,6.08647322830082e-08
"LOC114165685",232.407171948345,5.04991419459278,0.790983051444187,6.38435195971972,1.72124802233098e-10,6.56879245262903e-08
"LOC114176778",254.6123373984,5.09348886571888,0.799784213706567,6.36857889719193,1.90787625126152e-10,7.14863887018136e-08
"LOC114192483",67.6346076629421,2.75189095676871,0.43233323610688,6.36520796214798,1.95025311265531e-10,7.17693145457153e-08
"LOC114187879",105.932086085666,5.19393382130393,0.818043648777211,6.34921355244024,2.16418434555594e-10,7.82447561284506e-08
