,C-16H-RB1,C-16H-RB2,C-16H-RB3,T-16H-RB1,T-16H-RB2,T-16H-RB3
LOC114164547,107,126,90,134,129,189
LOC114181237,0,0,0,0,0,0
LOC114187231,232,309,244,264,290,439
LOC114174903,213,310,304,242,229,215
LOC114185176,276,634,458,398,471,490
LOC114191509,51,44,59,44,48,56
LOC114193353,197,197,195,254,252,350
LOC114163600,70,99,80,106,96,105
LOC114183160,2,6,7,10,10,7
LOC114181268,138,183,119,159,161,190
LOC114179399,0,0,0,0,0,0
LOC114192272,0,0,0,0,0,0
LOC114177945,0,0,0,0,0,0
LOC114177930,0,4,0,0,2,6
LOC114177937,571,889,849,795,835,1085
LOC114181308,151,181,140,110,163,194
LOC114192868,152,168,189,207,171,249
LOC114173575,196,292,305,247,329,287
LOC114181396,4,0,0,0,0,0
LOC114163244,43,77,57,100,70,62
LOC114163256,100,138,143,139,188,228
LOC114193122,131,184,175,188,202,210
LOC114194366,148,196,166,204,189,268
LOC114183741,31,43,42,36,40,42
LOC114175907,38,95,61,57,71,77
LOC114195859,28,126,34,20,59,38
LOC114192406,84,107,97,52,91,112
LOC114191889,403,682,605,602,690,771
LOC114192680,93,143,129,155,142,214
LOC114173837,388,542,448,447,524,499
LOC114191802,24,30,59,30,33,42
LOC114191807,48,59,71,76,53,73
LOC114195797,109,128,146,119,126,164
LOC114169535,346,528,439,448,519,665
LOC114163742,90,153,83,97,120,152
LOC114178314,24,19,17,20,26,25
LOC114178322,1,0,0,0,0,0
LOC114185051,605,680,570,643,604,632
LOC114184555,2,2,0,0,0,4
LOC114183376,0,2,0,0,0,0
LOC114183266,11,13,10,19,38,25
LOC114183369,50,57,58,91,57,45
LOC114183292,316,567,414,486,438,461
LOC114183352,17378,18744,11386,15139,11729,11707
LOC114183306,211,254,260,223,251,285
LOC114183361,6,0,3,2,11,5
LOC114183228,4,7,5,0,5,9
LOC114174196,34,31,55,60,76,67
LOC114193617,0,1,3,5,1,4
LOC114193606,5,7,2,10,12,15
LOC114181510,0,0,0,0,0,0
LOC114181520,0,0,0,0,0,0
LOC114175819,9,2,0,7,13,59
LOC114196257,0,0,0,0,2,1
LOC114186121,177,249,190,189,238,264
LOC114184412,103,167,125,127,130,137
LOC114173117,2,3,0,1,2,0
LOC114173197,413,573,379,402,504,705
LOC114193285,209,264,191,193,249,365
LOC114186935,9,2,18,7,4,16
LOC114181529,0,0,0,0,0,0
LOC114186948,3,2,4,2,4,4
LOC114186917,15,11,19,17,13,22
LOC114186953,704,635,536,455,563,677
LOC114182660,84,160,157,108,152,131
