,C-16H-RB1,C-16H-RB2,C-16H-RB3,T-16H-RB1,T-16H-RB2,T-16H-RB3
LOC114177338,279,446,314,287,444,346
LOC114194671,0,0,2,4,2,4
LOC114179753,306,342,391,353,407,503
LOC114174140,7,8,0,5,0,6
LOC114181606,0,0,0,0,0,0
LOC114174161,0,0,0,2,2,2
LOC114175805,0,2,0,2,4,9
LOC114175796,0,2,0,4,2,3
LOC114162491,0,0,0,2,0,4
LOC114191847,2805,3425,3543,3076,3280,2943
LOC114182418,472,626,531,460,593,624
LOC114162914,16,5,15,6,10,50
LOC114193925,11,12,13,8,10,8
LOC114193931,4,6,12,20,7,18
LOC114186551,271,326,335,380,271,310
LOC114181662,3,0,2,2,5,2
LOC114177567,19,6,20,25,24,28
LOC114179232,30,23,20,60,48,106
LOC114185297,86,124,155,113,144,145
TRNAD-GUC,0,0,0,0,0,0
LOC114179639,65,43,30,31,29,38
LOC114164417,102,346,121,164,308,338
LOC114179090,0,0,0,0,0,0
LOC114179081,0,0,0,0,0,0
LOC114164858,0,0,0,0,0,0
LOC114179857,0,0,0,0,2,0
LOC114175348,4,6,4,3,4,11
LOC114163990,10,10,11,8,25,12
LOC114163986,0,6,4,4,4,0
LOC114163396,66,98,44,39,46,58
LOC114177550,24,49,42,23,22,30
LOC114162125,131,203,162,131,175,201
LOC114164341,0,0,0,0,0,0
LOC114178215,0,2,2,0,0,2
LOC114165512,0,0,0,0,0,0
LOC114180063,15,44,14,20,36,92
LOC114183973,385,536,476,439,498,655
LOC114184672,129,201,201,127,160,197
LOC114194731,107,81,102,166,192,260
LOC114178924,286,255,229,318,331,543
LOC114194883,266,349,315,277,335,655
LOC114194008,71,120,131,81,105,120
LOC114194000,48,67,48,43,88,104
LOC114194287,458,179,249,114,133,158
LOC114194280,0,0,0,0,0,2
LOC114178990,106,46,15,88,6,21
LOC114163344,74,25,28,59,12,6
LOC114196174,0,0,0,0,0,0
LOC114181082,15,8,38,10,12,163
LOC114174664,541,525,546,461,472,700
LOC114174687,0,8,2,0,6,0
LOC114174614,33,32,13,26,29,36
LOC114181677,0,0,0,0,0,0
LOC114162605,66,96,66,77,70,72
LOC114163221,406,324,320,436,559,903
LOC114179338,4,0,0,6,4,12
LOC114180345,0,0,0,0,0,4
LOC114162522,8,8,10,13,8,16
LOC114184836,18,22,13,18,34,53
LOC114181846,350,511,467,384,384,478
LOC114181855,4,2,2,4,6,0
LOC114181680,0,0,0,0,0,0
LOC114181750,351,314,257,333,381,453
LOC114162943,86,125,96,90,93,112
LOC114183092,252,427,336,335,276,332
LOC114164498,0,0,0,0,0,0
LOC114185662,0,0,0,0,2,2
LOC114185670,0,0,0,0,0,0
LOC114181725,0,0,0,0,0,0
LOC114180237,0,0,0,0,0,0
LOC114179530,475,340,433,354,401,555
LOC114175493,4,2,4,0,0,4
LOC114163378,16,15,16,14,17,24
LOC114173889,62,110,82,92,108,101
LOC114164757,508,773,633,601,653,675
LOC114193783,62,94,79,74,94,134
LOC114187280,372,509,363,463,502,830
LOC114183900,0,0,0,0,0,0
LOC114181736,17,20,18,16,25,21
LOC114181742,7,6,14,4,12,10
LOC114172510,0,0,12,2,2,14
LOC114172612,0,0,0,0,0,0
LOC114177800,46,50,54,51,56,54
LOC114185571,82,100,88,110,127,155
LOC114174206,120,145,148,148,161,192
LOC114175221,96,173,108,114,91,88
LOC114177992,0,4,0,0,0,0
LOC114163561,0,0,0,7,0,0
LOC114162292,522,796,529,610,900,1207
LOC114178370,8,27,28,14,24,41
LOC114179009,39,63,75,63,37,25
LOC114179017,85,96,74,62,109,89
LOC114177299,2,0,4,4,0,4
LOC114194118,2,4,4,3,2,2
LOC114194093,0,3,2,22,6,28
LOC114181815,0,0,2,0,2,0
LOC114194101,0,0,0,0,0,0
LOC114181825,0,0,0,0,0,0
LOC114166223,30,38,73,61,56,82
LOC114181831,0,12,2,10,7,10
LOC114187015,57,104,55,42,98,171
LOC114176176,2,6,0,2,3,15
LOC114168871,27,45,40,46,35,53
LOC114176673,23,10,12,8,30,55
LOC114177793,0,4,4,6,5,18
LOC114162977,0,0,0,0,0,0
LOC114177407,8,15,20,10,22,127
LOC114192227,25,34,24,29,36,33
LOC114180481,181,333,248,256,251,384
LOC114185054,35,33,31,69,36,63
LOC114165270,0,0,0,0,0,1
LOC114195033,58,81,42,51,95,103
LOC114179443,35,87,51,57,58,102
LOC114191789,30,46,24,27,41,48
LOC114191780,4025,4192,4333,3960,3764,3527
LOC114179567,17,2,10,20,26,84
LOC114183053,0,0,0,0,0,0
LOC114181877,0,0,0,0,0,0
LOC114184835,0,0,0,0,0,0
LOC114164396,0,0,0,0,0,0
LOC114165252,0,0,0,0,0,0
LOC114184307,0,0,0,0,0,0
LOC114187349,0,0,0,0,0,0
LOC114165329,0,0,0,0,0,0
LOC114181941,0,0,0,0,0,0
LOC114181970,0,0,0,0,0,0
LOC114171263,0,0,0,0,0,0
LOC114181983,0,0,0,0,0,0
LOC114191971,0,0,0,0,0,0
LOC114195492,0,0,0,0,0,0
LOC114175091,0,0,0,0,0,0
LOC114173789,807,858,845,956,1222,2018
LOC114181994,0,0,0,0,1,0
LOC114183031,0,6,4,0,2,6
LOC114183016,163,237,308,288,267,286
LOC114182289,987,766,732,949,1245,1988
LOC114182282,316,232,230,219,235,334
LOC114176222,842,1291,1289,1161,1171,1165
LOC114182003,0,0,0,0,0,0
LOC114188485,219,297,220,234,295,370
LOC114178773,30,36,34,43,90,71
LOC114182038,0,0,0,0,0,0
LOC114169421,0,0,0,0,0,0
LOC114183842,0,0,0,0,0,0
LOC114183663,272,364,297,279,228,374
LOC114193342,79,108,117,109,122,148
LOC114175574,29,47,25,43,46,45
LOC114186983,170,256,173,231,222,247
LOC114178576,1325,1495,1367,1572,1072,976
LOC114177357,6,4,4,2,0,2
LOC114177853,41,52,46,35,71,50
LOC114175281,26,40,47,54,60,105
LOC114192141,540,569,456,464,608,1036
LOC114177597,10,4,8,4,4,12
LOC114178969,2,4,8,0,2,0
LOC114192015,545,728,581,546,780,1051
LOC114178778,2,4,4,0,8,8
LOC114164021,0,0,2,0,0,0
LOC114165132,0,0,0,0,0,0
LOC114165113,0,0,0,0,0,0
LOC114165121,578,1106,671,1034,917,1368
LOC114165126,291,634,262,450,394,503
LOC114182066,7691,10604,7546,10722,10690,14186
LOC114179167,2,0,0,0,0,2
LOC114164148,0,0,0,0,2,2
LOC114164954,528,881,447,647,772,895
LOC114164499,23,16,20,16,25,57
LOC114163049,59,68,60,60,94,87
LOC114177958,117,116,86,92,126,144
LOC114166405,24,38,22,25,48,52
LOC114184360,114,153,97,108,78,145
LOC114184379,15,10,5,9,9,12
LOC114184281,154,199,106,122,169,183
LOC114180896,0,0,0,0,0,0
LOC114180903,0,0,0,0,0,0
LOC114194858,25,36,31,36,62,50
LOC114181785,233,201,207,159,137,117
LOC114181339,0,0,0,0,0,0
LOC114181318,7,18,35,23,20,26
LOC114181329,151,289,154,137,220,349
LOC114191922,99,137,91,89,101,154
LOC114191934,0,0,0,0,0,0
LOC114189769,6,30,30,16,22,27
LOC114180751,451,1247,673,839,915,1132
LOC114182197,0,0,0,0,0,0
LOC114164078,31,62,59,109,72,68
LOC114164680,0,0,0,0,0,0
LOC114164670,2,25,24,21,22,12
LOC114165537,523,786,724,669,650,594
LOC114194157,27,18,33,32,45,30
LOC114194488,6,0,13,1,5,16
LOC114195437,0,0,0,0,0,0
LOC114193557,10,0,0,0,4,0
LOC114193582,0,0,0,0,0,2
LOC114182233,0,0,0,0,0,0
LOC114193573,360,405,336,306,331,291
LOC114193564,84,170,147,159,170,186
LOC114163460,4,4,2,1,4,0
LOC114182250,26,20,25,21,17,48
LOC114165142,0,0,1,0,2,0
LOC114173182,106,75,94,130,101,163
LOC114162197,2,0,6,2,4,16
LOC114179031,334,374,301,392,437,523
LOC114184488,4,6,2,8,21,18
LOC114182255,0,0,0,0,0,2
LOC114180288,560,811,521,622,704,695
LOC114180297,31,25,6,28,10,21
LOC114173662,116,126,129,140,128,124
LOC114176968,129,117,135,166,151,158
LOC114182348,0,0,0,0,0,0
LOC114195892,107,282,159,159,275,252
LOC114176946,12,38,9,16,17,24
LOC114186541,16,12,11,2,6,26
LOC114176275,0,0,0,0,0,0
LOC114176605,0,0,0,0,2,0
LOC114182081,0,0,0,0,0,0
LOC114175485,8,9,10,10,7,16
LOC114182398,0,0,0,0,0,0
LOC114182408,0,0,0,0,0,0
LOC114192657,2082,2079,1583,1646,2399,2599
LOC114182114,0,0,0,0,0,0
LOC114182110,2,0,0,0,0,0
LOC114178659,2,0,0,0,0,6
LOC114174529,56,62,33,51,50,98
LOC114174604,3,0,0,8,0,0
LOC114177996,0,0,0,0,0,2
LOC114182564,0,0,0,0,0,2
LOC114182579,0,0,0,0,0,0
LOC114173637,171,134,124,126,143,191
LOC114178083,88,108,97,83,115,117
TRNAL-CAA,0,0,0,0,0,0
TRNAL-CAA_1,0,0,0,0,0,0
TRNAL-CAA_2,0,0,0,0,0,0
LOC114165657,0,0,0,0,0,0
LOC114178024,29,67,58,70,63,60
LOC114189694,93,73,64,103,94,137
LOC114163953,38,39,48,42,51,40
LOC114189454,104,209,214,179,186,172
LOC114163783,0,0,0,0,0,0
LOC114192832,312,355,347,362,382,564
LOC114180619,13,24,28,32,30,39
LOC114182587,0,0,0,0,0,0
LOC114182598,0,0,0,0,0,0
LOC114164126,29,69,38,43,48,105
LOC114164133,253,349,365,343,387,364
LOC114164174,1,1,0,2,1,4
LOC114173722,2811,3552,3597,3330,3503,3419
LOC114163623,0,0,0,0,2,2
LOC114194175,3459,4968,4479,4578,4154,3767
LOC114187265,163,203,171,188,196,269
LOC114171176,0,0,0,0,0,0
LOC114194374,0,0,0,0,0,2
LOC114187851,42,70,44,73,72,71
LOC114166752,0,0,0,0,0,0
LOC114162924,4,8,0,6,2,27
LOC114180963,0,0,0,0,0,0
LOC114182635,0,0,0,0,0,0
LOC114182638,0,0,0,0,0,0
LOC114182649,0,0,0,0,0,0
LOC114175307,219,335,307,329,367,513
LOC114179223,1554,3217,1762,1975,2987,2847
LOC114186100,457,850,816,664,586,548
LOC114176922,92,104,56,62,94,130
LOC114182700,0,0,0,0,0,0
LOC114182757,0,0,0,0,0,0
LOC114173441,0,2,0,4,2,5
LOC114163003,0,2,6,4,4,0
LOC114178899,0,0,0,0,0,0
LOC114193392,246,297,231,292,266,319
LOC114182811,51,37,25,26,51,59
LOC114182858,0,0,0,0,0,0
LOC114182941,0,0,0,0,0,0
LOC114176244,174,158,142,129,208,231
LOC114176252,565,684,566,669,773,1005
LOC114192671,767,676,678,790,774,1289
TRNAM-CAU,0,0,0,0,0,0
LOC114176348,2,18,22,14,20,16
LOC114162538,42,105,81,72,119,204
LOC114174763,1598,1759,1352,1425,1390,1884
LOC114195679,2,8,12,10,26,12
LOC114175951,273,664,394,371,586,539
LOC114176033,0,0,0,0,0,0
TRNAQ-UUG,0,0,0,0,0,0
TRNAQ-UUG_1,0,0,0,0,0,0
LOC114162555,2,2,2,12,8,6
LOC114182962,0,0,0,0,0,0
LOC114174019,40,71,72,63,76,71
LOC114182972,0,0,0,0,0,0
LOC114179457,0,0,0,0,0,0
LOC114173148,4,2,0,0,1,8
LOC114187335,0,0,0,0,0,0
LOC114173140,0,2,2,0,0,0
LOC114195742,30,60,22,44,46,62
LOC114187341,0,0,0,0,0,0
LOC114184384,76,156,142,216,167,143
LOC114191504,94,145,126,113,145,200
LOC114177659,49,51,41,53,45,93
LOC114185820,12,14,14,8,12,6
LOC114185827,26,37,23,27,44,41
LOC114195494,6,4,4,2,4,0
LOC114180507,2,0,4,4,8,15
LOC114173957,0,0,0,0,0,0
LOC114175071,12,29,22,20,26,22
LOC114187364,0,0,0,0,0,0
LOC114187145,16,8,12,2,16,26
LOC114178476,46,48,37,40,49,66
LOC114193171,59,86,47,70,90,109
LOC114165225,136,219,213,214,255,234
LOC114187374,0,0,0,0,0,0
LOC114187382,0,0,0,0,0,0
LOC114163483,14,25,29,4,28,48
LOC114194753,0,0,0,0,0,0
LOC114193633,353,299,443,551,472,542
LOC114187391,0,0,0,0,0,0
LOC114187398,0,0,0,0,0,0
LOC114185516,0,0,0,0,0,0
LOC114187407,0,0,0,0,0,0
LOC114185510,28,21,26,27,9,21
LOC114185503,0,0,0,2,6,3
LOC114196166,0,0,0,0,0,0
LOC114181242,0,0,0,0,0,0
LOC114181251,0,0,0,0,0,0
LOC114187425,0,0,0,0,0,0
LOC114187135,4,22,18,12,15,28
LOC114187129,1465,1427,1185,1599,948,1009
LOC114187119,714,960,893,1030,882,748
TRNAQ-UUG_2,0,0,0,0,0,0
TRNAQ-UUG_3,0,0,0,0,0,0
TRNAQ-UUG_4,0,0,0,0,0,0
TRNAQ-UUG_5,0,0,0,0,0,0
LOC114181372,15,10,8,15,4,6
LOC114186146,345,528,565,456,455,516
LOC114165482,195,227,175,247,316,379
LOC114185162,207,221,284,240,194,146
LOC114187450,0,0,0,0,0,0
LOC114187459,0,0,0,0,0,0
LOC114187470,0,0,0,0,0,0
LOC114191950,48,143,63,69,85,124
LOC114192815,337,303,178,213,392,510
LOC114162108,0,0,0,0,0,0
LOC114162656,0,0,0,0,0,0
LOC114164766,6,8,4,8,6,119
LOC114179622,10,8,12,8,6,16
LOC114184223,192,240,179,152,205,187
LOC114195829,584,1031,929,968,1082,1111
LOC114187513,0,0,0,0,0,0
LOC114180307,8,6,4,4,4,8
LOC114164305,6,6,4,7,6,2
LOC114162709,0,0,0,0,0,0
LOC114176465,36,26,24,39,36,39
LOC114194293,799,756,686,796,924,1088
LOC114196291,1695,3345,2037,1739,1992,1542
LOC114192481,1091,1655,1622,1432,1365,1651
LOC114175644,168,285,184,218,225,251
LOC114187531,0,0,0,0,0,0
LOC114179175,206,238,207,259,253,412
LOC114181597,2,0,0,0,0,0
LOC114192349,1175,1093,926,1364,1497,2306
LOC114195336,307,515,376,553,477,434
LOC114195320,56,103,103,109,89,77
LOC114173782,564,397,336,388,173,316
LOC114182128,19,8,6,6,19,48
LOC114182254,33,57,8,55,40,22
LOC114167090,248,260,178,255,175,259
LOC114162801,0,0,0,0,0,0
LOC114165476,0,0,0,0,0,0
LOC114165425,0,0,0,0,0,0
LOC114162665,0,0,0,0,0,0
LOC114165430,0,0,0,0,0,0
LOC114165483,0,0,0,0,0,0
LOC114162814,0,0,0,0,0,0
LOC114165492,0,0,0,0,0,0
LOC114165435,0,0,0,0,0,0
LOC114175133,0,0,0,0,0,0
LOC114188920,13,14,23,33,25,30
LOC114192978,763,815,1171,317,1277,1116
LOC114173617,0,0,0,0,1,0
LOC114192415,58,32,38,29,46,36
LOC114177830,37,20,22,17,25,6
LOC114164014,294,110,90,83,144,482
LOC114175360,0,0,0,0,0,0
LOC114180538,0,0,0,0,0,0
LOC114187546,0,0,0,0,0,0
LOC114183795,404,532,394,474,491,548
LOC114175735,11,14,17,8,15,27
LOC114162457,140,220,171,179,205,239
LOC114191637,213,245,240,201,228,220
LOC114165340,79,127,106,99,134,159
TRNAL-UAG,0,0,0,0,0,0
LOC114164514,0,0,0,0,0,0
LOC114183927,100,136,128,115,131,142
LOC114187554,1,2,0,0,0,0
LOC114187564,0,0,0,0,0,0
LOC114193742,104,134,129,128,150,155
LOC114187575,0,0,0,0,0,0
LOC114187584,0,0,0,0,0,0
LOC114174567,44,119,87,93,108,121
LOC114187593,0,0,0,0,0,0
LOC114163994,0,0,0,0,0,0
LOC114176613,4,31,18,18,18,15
LOC114193850,120,181,142,156,178,214
LOC114176988,41,58,46,49,65,65
LOC114162139,0,0,0,0,0,0
LOC114187605,0,0,0,0,0,0
LOC114184035,23,43,42,18,24,18
LOC114191973,550,741,482,606,649,789
LOC114181837,3071,3745,5663,6279,4506,4986
LOC114170958,77,200,212,142,234,230
LOC114170575,22,22,34,36,33,53
LOC114170666,71,85,84,61,66,113
LOC114177888,388,468,582,541,639,637
LOC114192780,296,345,295,303,396,773
LOC114180570,1,2,0,0,2,3
LOC114177971,0,0,0,0,0,0
LOC114163225,0,0,0,0,0,0
LOC114187631,0,0,0,0,0,0
LOC114187647,0,0,0,0,0,0
LOC114177478,2,0,0,4,0,8
LOC114162284,138,148,108,119,195,367
TRNAS-GCU,0,0,0,0,0,0
LOC114184159,63,146,137,98,123,109
LOC114177429,50,84,49,28,52,41
LOC114175255,21,14,10,26,12,14
LOC114162165,9,13,22,10,16,10
LOC114178237,10,2,8,10,12,18
LOC114181822,0,4,2,2,2,2
LOC114179809,0,0,0,0,0,0
LOC114174167,0,0,0,0,0,0
LOC114162506,4,0,0,0,2,0
LOC114177325,58,72,80,58,42,56
LOC114174589,0,0,0,0,0,0
LOC114194795,190,339,303,326,287,304
LOC114162764,398,521,455,478,409,527
LOC114162247,6,2,4,2,0,10
LOC114171760,243,220,136,182,228,442
LOC114164049,1201,1187,1160,1264,1229,1553
LOC114189615,138,203,196,143,220,212
LOC114175119,43,44,62,62,56,93
LOC114195213,2,6,6,4,0,2
LOC114195221,66,127,108,111,118,165
LOC114187676,0,0,0,0,0,0
LOC114196035,108,98,64,113,126,209
LOC114175304,102,96,124,86,111,117
LOC114165620,0,0,0,0,0,0
LOC114163103,0,0,0,0,0,0
LOC114191645,902,1065,832,894,755,883
LOC114192558,271,286,282,325,297,329
LOC114178728,0,0,0,0,0,0
LOC114180464,189,154,118,162,128,129
LOC114181549,5,8,9,10,4,9
LOC114165518,0,0,0,0,0,0
LOC114165550,0,0,0,0,0,0
LOC114185105,0,0,0,0,0,0
LOC114165530,0,0,0,0,0,0
LOC114185097,30,71,38,40,44,67
LOC114185137,209,390,370,300,308,370
LOC114177487,8,6,2,2,4,8
LOC114187720,0,0,0,0,0,0
LOC114163913,0,0,2,0,0,0
LOC114192646,207,180,194,227,209,212
LOC114189136,52,60,79,36,44,29
LOC114194781,0,0,4,4,0,2
LOC114187732,0,2,0,0,0,0
LOC114183753,45,32,59,48,229,992
LOC114187736,0,0,0,0,0,0
LOC114164943,0,0,0,0,0,0
LOC114187751,0,0,0,0,0,0
LOC114179252,0,0,0,2,2,0
LOC114179107,0,0,0,0,0,0
LOC114187766,0,0,0,0,0,0
LOC114185195,337,327,306,288,409,379
LOC114176123,4,6,6,4,8,6
LOC114187768,6,4,1,9,4,2
LOC114176116,40,80,70,61,67,86
LOC114176321,0,0,0,0,0,0
LOC114187778,0,0,0,0,0,0
LOC114182072,0,0,1,0,0,0
LOC114165607,0,0,0,0,0,0
LOC114195363,4,0,6,8,10,12
LOC114187795,0,0,0,0,0,0
LOC114187801,0,0,0,0,0,0
LOC114187808,0,0,0,0,0,0
LOC114163889,4,1,4,6,6,7
LOC114181638,0,0,2,1,2,2
LOC114173969,55,64,74,55,54,80
LOC114186780,14,30,16,36,24,35
LOC114186801,2,0,0,0,0,0
LOC114186794,0,0,0,0,0,0
LOC114185549,0,0,2,1,0,2
LOC114185624,0,0,0,0,0,0
LOC114176312,4,2,0,2,0,2
LOC114187816,0,0,0,0,0,0
LOC114163964,72,26,4,14,12,20
LOC114194913,0,0,0,0,0,0
LOC114183182,383,498,302,375,416,525
LOC114187834,0,0,0,0,0,0
LOC114186767,52,80,51,67,70,125
LOC114178747,42,116,34,41,36,52
LOC114191694,26116,32125,24345,22900,24644,20383
LOC114187849,0,3,2,2,0,7
LOC114185307,3422,1867,1870,2834,2386,3002
LOC114187858,0,0,0,0,0,0
LOC114191515,30,53,50,55,46,55
LOC114175465,0,0,0,0,0,0
LOC114187880,0,0,0,0,0,0
LOC114187895,0,0,0,0,0,0
LOC114165625,0,0,0,0,0,0
LOC114180646,2,4,0,0,1,4
LOC114192639,244,370,265,206,355,365
LOC114187904,0,0,0,0,0,0
LOC114187913,0,0,4,0,2,3
LOC114187918,0,0,0,0,0,0
LOC114174486,0,0,0,0,0,0
LOC114177874,145,159,230,195,168,271
LOC114165602,0,0,0,0,0,0
LOC114183054,19,48,33,39,29,43
LOC114187944,0,0,0,0,0,0
LOC114187971,0,0,0,0,0,0
LOC114184634,1216,1693,1263,1396,1753,2183
LOC114185042,23768,22993,20900,22163,17180,15222
LOC114187977,0,0,0,0,0,0
LOC114173050,7,10,29,16,18,30
LOC114194234,782,1170,897,791,993,1113
LOC114187999,0,0,0,0,0,0
LOC114165643,0,0,0,0,0,0
LOC114177053,0,0,0,0,0,0
LOC114185421,131,151,149,157,148,155
LOC114194833,1748,2785,2057,1833,2087,2337
LOC114194847,151,182,102,99,124,149
LOC114188022,0,0,0,0,0,0
LOC114167809,39,38,34,35,37,36
LOC114181151,57,60,64,56,68,88
LOC114186715,209,241,250,222,213,281
LOC114188032,0,0,0,0,0,0
LOC114181986,0,2,0,2,0,0
LOC114188047,0,0,0,0,0,0
LOC114175616,8,37,28,34,46,70
LOC114188055,0,0,0,0,0,0
LOC114188063,0,0,0,0,0,0
LOC114170289,19,10,6,11,12,14
LOC114188077,0,0,0,0,0,0
LOC114184665,337,358,275,380,384,476
LOC114188083,0,0,0,0,0,0
LOC114175381,2,2,0,2,0,4
TRNAS-AGA,0,0,0,0,0,0
LOC114195923,0,0,0,0,0,3
LOC114165421,0,0,0,0,0,0
LOC114176685,339,281,179,289,259,384
LOC114165408,0,0,0,0,0,0
LOC114165414,0,0,0,0,0,0
LOC114177203,548,713,685,638,696,652
LOC114177208,0,0,0,0,0,0
LOC114177193,38,38,4,30,67,15
LOC114179242,2,0,0,2,0,2
LOC114188090,0,0,0,0,0,0
LOC114183462,303,306,250,351,420,566
LOC114190617,0,0,0,0,0,0
LOC114192044,0,0,1,2,2,0
LOC114188106,0,0,0,0,0,0
LOC114192052,0,0,0,0,0,0
LOC114165636,0,0,0,0,0,0
LOC114192037,0,0,0,0,0,0
LOC114185903,15,6,14,10,6,27
LOC114193643,128,150,135,112,140,205
LOC114188114,102,120,157,107,144,130
LOC114175660,293,478,354,343,469,549
LOC114175675,17,11,5,8,4,12
LOC114175394,17,45,23,32,23,20
LOC114162148,392,452,443,354,253,452
LOC114188127,0,0,0,0,0,0
LOC114188143,0,0,0,0,0,0
LOC114188152,0,0,0,0,0,0
LOC114173184,39,30,40,35,53,70
LOC114179906,198,360,327,365,314,315
LOC114162376,43,49,52,51,35,42
LOC114194740,0,0,2,0,0,0
LOC114162369,0,0,0,0,2,0
LOC114180636,0,0,0,2,0,0
LOC114181057,2,4,4,10,4,2
LOC114181213,6,8,4,6,4,10
LOC114188171,0,0,0,0,0,0
LOC114188180,0,0,0,0,0,0
LOC114166167,0,2,0,0,0,0
LOC114166053,53,53,73,70,66,95
TRNAN-GUU,0,0,0,0,0,0
LOC114170487,42,74,70,52,46,80
LOC114188190,0,0,0,0,0,0
LOC114195593,0,0,0,0,0,0
LOC114162847,10,6,16,12,6,10
LOC114188206,0,0,0,0,0,0
TRNAD-GUC_1,0,0,0,0,0,0
LOC114192900,584,780,636,655,771,840
LOC114180877,838,1313,1447,981,1117,1243
LOC114179603,0,0,0,0,0,0
LOC114188247,0,0,0,0,0,0
LOC114188262,0,0,0,0,0,0
LOC114169614,748,1002,1047,823,1132,991
LOC114180195,0,0,0,0,0,0
LOC114162093,0,0,0,3,2,0
LOC114185602,4,4,8,2,8,18
LOC114188284,0,0,0,0,0,0
LOC114185610,333,433,395,381,449,593
LOC114173175,427,536,474,502,450,360
LOC114178268,28,35,24,61,24,42
LOC114173341,96,115,91,129,125,184
LOC114186856,28,61,66,57,54,51
LOC114178872,205,340,205,266,284,313
LOC114193179,609,799,629,726,687,702
LOC114162253,7,0,0,0,12,0
LOC114195646,149,182,129,170,185,206
LOC114191456,82,83,50,63,77,110
LOC114175092,464,533,481,693,640,767
LOC114164231,124,118,110,139,117,183
LOC114188306,8,6,2,11,8,25
LOC114182094,0,0,0,0,0,0
LOC114163880,0,0,0,0,0,0
LOC114169561,534,639,586,629,524,767
LOC114174574,28,14,14,14,24,32
LOC114191670,117,128,69,78,132,101
LOC114165704,0,0,0,0,0,0
LOC114188316,0,0,0,0,0,0
LOC114178499,30,52,18,48,36,51
LOC114178043,2,10,8,5,2,5
LOC114178035,341,443,309,384,412,483
LOC114162839,41,392,131,146,305,174
LOC114188320,0,0,0,0,0,0
LOC114188328,0,0,0,0,0,0
LOC114163584,627,788,569,723,883,813
LOC114163594,34421,41745,33803,32604,32011,30939
LOC114162092,453,649,677,602,606,472
LOC114186848,28,20,37,42,46,60
LOC114183859,116,66,84,97,121,144
LOC114175720,105,131,154,138,164,224
LOC114164375,443,591,444,471,508,564
LOC114188348,0,0,0,0,0,0
LOC114194215,112,95,129,126,130,161
LOC114192314,66,82,68,70,106,162
LOC114188354,0,0,0,0,0,0
LOC114188376,0,0,0,0,0,0
LOC114195536,0,0,0,0,0,0
LOC114165562,0,0,0,0,0,0
LOC114188391,0,0,0,0,0,0
LOC114188399,0,0,0,0,0,0
LOC114164520,0,0,0,0,0,0
LOC114175998,44,44,21,52,35,46
LOC114175497,2,12,12,13,10,8
LOC114188413,0,0,0,0,0,0
LOC114164629,6143,10206,7307,6032,6676,6466
LOC114195310,0,0,2,0,2,0
LOC114196126,39,62,56,66,58,66
LOC114174116,11,23,20,18,24,16
LOC114194371,280,405,451,356,415,550
LOC114188440,0,0,0,0,0,0
