,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114162993,107.2872991,2.720048874,0.38442838,7.075567295,1.49E-12,4.99E-10,11.82728439
LOC114176826,144.0058474,1.918265745,0.272386593,7.042438193,1.89E-12,6.24E-10,11.72375738
LOC114193553,509.0753808,-1.477349391,0.210808188,-7.008026607,2.42E-12,7.86E-10,11.61671823
LOC114187852,346.7233978,1.535385398,0.21968269,6.98910505,2.77E-12,8.86E-10,11.55807682
LOC114193841,157.3429609,2.872400826,0.411302366,6.983672022,2.88E-12,9.04E-10,11.54126706
LOC114163754,1199.604556,1.187276786,0.170051233,6.98187698,2.91E-12,9.04E-10,11.53571598
LOC114175886,592.0357622,1.681952135,0.242029274,6.949374782,3.67E-12,1.12E-09,11.43544208
LOC114195879,590.6339361,-2.181116654,0.315548542,-6.91214302,4.77E-12,1.44E-09,11.32113015
LOC114194439,77.21917692,2.361016799,0.341730312,6.909006073,4.88E-12,1.45E-09,11.31152583
LOC114191916,129.6380435,3.564298941,0.516180482,6.905140873,5.02E-12,1.47E-09,11.29969761
LOC114163938,191.2176558,1.711012716,0.249140822,6.867653,6.53E-12,1.89E-09,11.18530809
LOC114178536,1708.728135,-1.354972523,0.197957416,-6.844767665,7.66E-12,2.18E-09,11.11577073
LOC114170380,40.70981321,5.712730234,0.836236994,6.831472745,8.40E-12,2.36E-09,11.07547644
LOC114186156,834.9547434,2.392978337,0.351124725,6.815180385,9.41E-12,2.61E-09,11.02620016
LOC114176389,402.2426622,1.226839428,0.180154805,6.80991788,9.77E-12,2.67E-09,11.01030786
LOC114176214,49.50173362,4.104356157,0.606115465,6.771574712,1.27E-11,3.44E-09,10.89487098
LOC114179374,73.9045915,3.090030039,0.457784468,6.749966978,1.48E-11,3.91E-09,10.83009406
LOC114187237,251.6757072,-1.483754798,0.219833258,-6.749455523,1.48E-11,3.91E-09,10.8285632
LOC114185855,84.20588392,2.458968294,0.364629446,6.743745789,1.54E-11,4.01E-09,10.81148068
LOC114187936,252.4704646,1.847977788,0.274478861,6.732677986,1.67E-11,4.28E-09,10.7784073
LOC114178976,99.2043233,3.085748898,0.462366771,6.673811983,2.49E-11,6.32E-09,10.6033772
LOC114191091,424.0755526,1.409813138,0.211590512,6.662931729,2.68E-11,6.73E-09,10.57118776
LOC114183769,636.8688503,-1.243659517,0.187485642,-6.633358703,3.28E-11,8.03E-09,10.48394998
LOC114178105,813.7449123,-1.353351833,0.204925406,-6.60411932,4.00E-11,9.65E-09,10.39806232
LOC114180105,44.86562322,4.543804826,0.689180573,6.593054134,4.31E-11,1.02E-08,10.36565437
LOC114173384,1430.111248,-1.398176924,0.213379557,-6.552534561,5.66E-11,1.31E-08,10.24742441
LOC114191052,863.4077753,-1.374217452,0.209987558,-6.544280368,5.98E-11,1.37E-08,10.22342556
LOC114163860,936.6847401,-1.201475287,0.183909858,-6.532957497,6.45E-11,1.46E-08,10.19055175
LOC114168700,269.9679433,1.978516456,0.30335596,6.522095227,6.93E-11,1.55E-08,10.15906645
LOC114194873,881.0055811,-1.6498768,0.253531053,-6.507592584,7.64E-11,1.69E-08,10.11710742
LOC114195864,6687.526809,-1.069839361,0.164779746,-6.492541619,8.44E-11,1.85E-08,10.07365657
LOC114164478,100.6792199,1.95343084,0.30098402,6.490148022,8.58E-11,1.86E-08,10.06675533
LOC114166671,188.2338838,1.624859435,0.251129641,6.470201727,9.79E-11,2.10E-08,10.0093408
LOC114183822,110.584586,-2.309864786,0.357594379,-6.459454965,1.05E-10,2.23E-08,9.978476832
LOC114193680,657.1724147,-1.554506168,0.241213715,-6.444518179,1.16E-10,2.42E-08,9.935660955
LOC114163383,231.0881314,1.438072126,0.223169577,6.443853795,1.16E-10,2.42E-08,9.933758719
LOC114165720,2908.00526,-1.299499668,0.201816235,-6.439024449,1.20E-10,2.48E-08,9.919937188
LOC114175083,112.6386374,2.114476356,0.329068283,6.42564619,1.31E-10,2.68E-08,9.881700546
LOC114195304,13286.84379,-1.677174281,0.261475426,-6.414271152,1.41E-10,2.86E-08,9.849249184
LOC114163300,159.4075191,2.570446504,0.401001108,6.410073319,1.45E-10,2.91E-08,9.837287258
LOC114163163,2812.834995,-1.933602001,0.301783466,-6.407249621,1.48E-10,2.94E-08,9.82924521
LOC114189835,128.9205135,2.327983542,0.366063334,6.3595103,2.02E-10,3.94E-08,9.693793871
LOC114184770,51.63045102,5.444471781,0.861216724,6.321837037,2.58E-10,4.98E-08,9.587586684
LOC114186861,2521.508468,-1.083940318,0.17154706,-6.318617866,2.64E-10,5.04E-08,9.578539266
LOC114194163,643.3390809,1.908463196,0.302273734,6.313691792,2.72E-10,5.15E-08,9.564703155
LOC114178078,189.8834178,2.553509696,0.404796348,6.30813423,2.82E-10,5.29E-08,9.549105726
LOC114169111,1763.662221,-1.483618298,0.235279065,-6.305781173,2.87E-10,5.33E-08,9.542505767
LOC114169470,451.1103994,1.827675257,0.289920353,6.304059845,2.90E-10,5.34E-08,9.537679201
LOC114183778,35.5938364,4.666751623,0.742761632,6.282973466,3.32E-10,6.06E-08,9.47865558
LOC114182658,100.7821522,3.097116488,0.493750477,6.272634922,3.55E-10,6.41E-08,9.449785589
LOC114179510,136.4952497,2.386460546,0.381881547,6.249216718,4.13E-10,7.34E-08,9.384558992
LOC114177427,253.5730097,-1.826941605,0.292638294,-6.243002524,4.29E-10,7.50E-08,9.367289724
LOC114164447,997.2855147,1.201366818,0.192501961,6.240803026,4.35E-10,7.50E-08,9.361181241
LOC114167214,611.4161311,-1.251966153,0.200616825,-6.240584021,4.36E-10,7.50E-08,9.360573129
LOC114177572,56.13335225,2.968821087,0.475876707,6.238635018,4.41E-10,7.53E-08,9.35516222
LOC114164090,3449.011329,-1.217167268,0.195515939,-6.225411961,4.80E-10,8.12E-08,9.318494376
LOC114174149,219.0091444,1.517699205,0.243908029,6.222424129,4.90E-10,8.21E-08,9.310219332
LOC114166279,62.41270864,2.930849131,0.47133265,6.218217916,5.03E-10,8.30E-08,9.298576301
LOC114179267,2679.087708,1.069447829,0.172157825,6.212019866,5.23E-10,8.50E-08,9.281433444
LOC114175939,393.6498212,-1.764784613,0.284063608,-6.212638869,5.21E-10,8.50E-08,9.28314478
LOC114181779,200.1831727,1.435751352,0.2314383,6.203603089,5.52E-10,8.90E-08,9.258180038
LOC114169346,231.4699731,1.39248581,0.224594719,6.199993554,5.65E-10,8.97E-08,9.248217026
LOC114194621,53501.40579,-1.124773513,0.181394,-6.200720619,5.62E-10,8.97E-08,9.250223422
LOC114169001,141.4048994,3.152758592,0.509527472,6.187612573,6.11E-10,9.63E-08,9.214085152
LOC114163764,757.6829364,-1.203430586,0.194616731,-6.183592648,6.27E-10,9.80E-08,9.203017019
LOC114181278,69.86270997,3.553018207,0.575648848,6.172197198,6.73E-10,1.05E-07,9.171678993
LOC114176904,35458.70124,-1.027229886,0.166910147,-6.154388491,7.54E-10,1.16E-07,9.122814565
LOC114166977,409.0076903,-1.209877413,0.196622677,-6.153295404,7.59E-10,1.16E-07,9.119819683
LOC114162347,219.8568147,-1.80017669,0.293387075,-6.135841838,8.47E-10,1.29E-07,9.072068379
LOC114189681,95.66470849,2.885673831,0.4704391,6.134000835,8.57E-10,1.29E-07,9.067039105
LOC114162706,266.0449488,2.18583281,0.356793564,6.126323534,8.99E-10,1.35E-07,9.046081663
LOC114176393,51.17872756,3.174760935,0.519649149,6.109431611,1.00E-09,1.49E-07,9.000058246
LOC114195669,1107.309304,1.060067458,0.173919849,6.095149355,1.09E-09,1.61E-07,8.961239515
LOC114179427,94.64746961,2.155238711,0.355110302,6.069209203,1.29E-09,1.87E-07,8.890956253
LOC114177385,115.4198804,3.036345344,0.501840807,6.050415394,1.44E-09,2.07E-07,8.840213843
LOC114194277,273.0616163,1.424133132,0.23533924,6.051405333,1.44E-09,2.07E-07,8.842882896
LOC114177148,4129.186028,-1.560537798,0.258181549,-6.044342835,1.50E-09,2.14E-07,8.823850232
LOC114187859,1399.06449,-1.034650611,0.172377088,-6.002251374,1.95E-09,2.75E-07,8.710856919
LOC114163010,795.0998289,-1.928427103,0.321660818,-5.995219174,2.03E-09,2.86E-07,8.692052403
LOC114188024,185.5647002,1.866491011,0.311400489,5.993860248,2.05E-09,2.86E-07,8.688420972
LOC114169933,1221.271671,1.659291011,0.277377892,5.982059354,2.20E-09,3.06E-07,8.656918584
LOC114166434,29.99986496,4.73151465,0.791298106,5.979433814,2.24E-09,3.07E-07,8.649917752
LOC114178231,56.382076,2.64399029,0.442215644,5.978961453,2.25E-09,3.07E-07,8.648658544
LOC114181145,541.9187356,-1.503689914,0.251697775,-5.974188346,2.31E-09,3.14E-07,8.635939806
LOC114184936,1252.085955,1.992367052,0.334057585,5.964142529,2.46E-09,3.32E-07,8.609202598
LOC114194664,614.4105953,-1.264157781,0.213080077,-5.932782622,2.98E-09,4.00E-07,8.526012488
LOC114186673,31.78546765,4.315966601,0.727769736,5.930401313,3.02E-09,4.03E-07,8.519712486
