"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114183769",636.868850314162,-1.24365951650514,0.187485642206497,-6.6333587034647,3.28133081242292e-11,8.03192575097309e-09,10.4839499833392
"LOC114178105",813.744912275009,-1.35335183284537,0.204925405990284,-6.60411931993214,3.99887358486878e-11,9.64896975590811e-09,10.3980623248642
"LOC114173384",1430.11124810166,-1.39817692358164,0.213379557260296,-6.55253456110627,5.6568620760009e-11,1.30774080392527e-08,10.2474244099748
"LOC114191052",863.407775264331,-1.37421745233707,0.209987557835383,-6.54428036833672,5.97825507982574e-11,1.36685247462477e-08,10.2234255584507
"LOC114163860",936.68474007384,-1.20147528683949,0.183909858204637,-6.53295749650684,6.44834484650411e-11,1.45830720517788e-08,10.1905517452524
"LOC114194873",881.005581129257,-1.6498767995189,0.253531052889462,-6.50759258369123,7.63646876758828e-11,1.69025924657917e-08,10.1171074201254
"LOC114195864",6687.52680910978,-1.06983936140002,0.164779746383967,-6.49254161920539,8.44001916673968e-11,1.84845303982301e-08,10.0736565671184
"LOC114183822",110.584585986609,-2.30986478644023,0.357594378925524,-6.45945496509414,1.05080751105455e-10,2.23092868112255e-08,9.97847683158649
"LOC114193680",657.172414703376,-1.55450616839513,0.24121371453405,-6.4445181792335,1.15968234239078e-10,2.42342662350965e-08,9.93566095546233
"LOC114165720",2908.00525961093,-1.29949966817073,0.201816234516098,-6.43902444858604,1.20243832938405e-10,2.47702295853115e-08,9.9199371884635
"LOC114195304",13286.8437918742,-1.67717428124187,0.261475425892815,-6.4142711519261,1.41498167619987e-10,2.85826298592373e-08,9.84924918415157
"LOC114163163",2812.83499515143,-1.93360200062343,0.301783466366584,-6.40724962140448,1.48168126555013e-10,2.93598670581294e-08,9.82924521032459
"LOC114186861",2521.50846818522,-1.08394031762891,0.171547059921073,-6.31861786571928,2.63912970022863e-10,5.03759014155569e-08,9.57853926582032
"LOC114169111",1763.66222063785,-1.48361829787057,0.235279064920634,-6.30578117254518,2.86743929893553e-10,5.3267805405047e-08,9.54250576694592
"LOC114177427",253.573009693092,-1.8269416050034,0.292638293511991,-6.24300252396237,4.29249972188844e-10,7.49600891533869e-08,9.36728972430504
"LOC114167214",611.416131142037,-1.25196615261944,0.200616825013391,-6.24058402148414,4.35940151281352e-10,7.49600891533869e-08,9.36057312942946
"LOC114164090",3449.01132893802,-1.21716726805401,0.195515939469603,-6.22541196055909,4.80292299645821e-10,8.12435901335851e-08,9.31849437619289
"LOC114175939",393.64982122027,-1.76478461293328,0.284063608094748,-6.21263886905445,5.21020990094271e-10,8.50247140605623e-08,9.28314478015827
"LOC114194621",53501.4057890973,-1.12477351340488,0.181393999579909,-6.20072061925833,5.62052103868112e-10,8.96809648536101e-08,9.25022342220049
"LOC114163764",757.682936391115,-1.20343058606941,0.194616730858976,-6.18359264775366,6.26589310313039e-10,9.80211818825044e-08,9.2030170185058
"LOC114176904",35458.7012425406,-1.02722988618569,0.166910146753515,-6.15438849084864,7.53677300723171e-10,1.1609940743427e-07,9.12281456462621
"LOC114166977",409.007690312921,-1.2098774132698,0.196622676753338,-6.1532954044135,7.58892598820566e-10,1.1609940743427e-07,9.11981968265527
"LOC114162347",219.856814680265,-1.80017669029331,0.293387075117963,-6.13584183819111,8.47094030153616e-10,1.2864699555749e-07,9.07206837891338
"LOC114177148",4129.18602841789,-1.56053779833263,0.258181549424888,-6.04434283475642,1.50020209683722e-09,2.13789074156131e-07,8.82385023185826
"LOC114187859",1399.0644904272,-1.03465061075443,0.172377087583412,-6.00225137377244,1.94600109752806e-09,2.75431964865093e-07,8.71085691912921
