"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114183769",636.868850314162,-1.24365951650514,0.187485642206497,-6.6333587034647,3.28133081242292e-11,8.03192575097309e-09
"LOC114178710",1965.02294187166,0.967151856392838,0.146476072770699,6.60279756344141,4.03470330079787e-11,9.64896975590811e-09
"LOC114178105",813.744912275009,-1.35335183284537,0.204925405990284,-6.60411931993214,3.99887358486878e-11,9.64896975590811e-09
"LOC114180105",44.8656232205986,4.54380482570701,0.689180572928732,6.59305413441607,4.3086937540394e-11,1.01871229825618e-08
"LOC114175936",3750.11146954868,-0.951306597399248,0.144855299279556,-6.56728888850192,5.12395802397608e-11,1.19785472636906e-08
"LOC114173384",1430.11124810166,-1.39817692358164,0.213379557260296,-6.55253456110627,5.6568620760009e-11,1.30774080392527e-08
"LOC114191052",863.407775264331,-1.37421745233707,0.209987557835383,-6.54428036833672,5.97825507982574e-11,1.36685247462477e-08
"LOC114163860",936.68474007384,-1.20147528683949,0.183909858204637,-6.53295749650684,6.44834484650411e-11,1.45830720517788e-08
"LOC114168700",269.96794329064,1.97851645557942,0.303355959520004,6.52209522670991,6.93319714930353e-11,1.55109784826246e-08
"LOC114194873",881.005581129257,-1.6498767995189,0.253531052889462,-6.50759258369123,7.63646876758828e-11,1.69025924657917e-08
"LOC114195864",6687.52680910978,-1.06983936140002,0.164779746383967,-6.49254161920539,8.44001916673968e-11,1.84845303982301e-08
"LOC114164478",100.679219860131,1.953430839559,0.300984019613134,6.4901480220439,8.57520806184936e-11,1.85849769723789e-08
"LOC114166671",188.233883768969,1.62485943544651,0.251129640760637,6.47020172738287,9.78721671053079e-11,2.09930753483818e-08
"LOC114183822",110.584585986609,-2.30986478644023,0.357594378925524,-6.45945496509414,1.05080751105455e-10,2.23092868112255e-08
"LOC114193680",657.172414703376,-1.55450616839513,0.24121371453405,-6.4445181792335,1.15968234239078e-10,2.42342662350965e-08
"LOC114163383",231.088131445715,1.43807212648657,0.223169577131266,6.44385379482398,1.16477296141e-10,2.42342662350965e-08
"LOC114165720",2908.00525961093,-1.29949966817073,0.201816234516098,-6.43902444858604,1.20243832938405e-10,2.47702295853115e-08
"LOC114175083",112.638637407758,2.11447635622659,0.329068282558139,6.42564619047723,1.31310499573656e-10,2.6784767197348e-08
